date	plate	well	plasmid	host	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP	flag
02/08	A	F12	194	pho2∆	5079	397401	1342.5	1417.3	1777.3000000000002	1884.3999999999999	pass
02/08	A	G1	194	PHO2	4896	431511	1659	26116.8	2008.2000000000003	32844	pass
02/08	A	G2	235	PHO2	5209	361041	1876.5	3291.3	3032.4	5011.9000000000005	pass
02/08	A	G3	235	PHO2	5291	341756	701.5	2272.3	1361.5	3611.9	pass
02/08	A	G4	235	PHO2	5035	384648	1980.5	2799.3	2974.3	4057.7	pass
02/08	A	G5	194	PHO2	2377	437536	1653.5	26194.3	1987.2000000000003	32378.1	pass
02/08	A	G6	239	PHO2	1623	493945	2296.5	42127.3	2027.1	42436.4	pass
02/08	A	G7	239	PHO2	3547	497391	2157.5	39533.3	1922.8000000000002	40373.100000000006	pass
02/08	A	G9	194	PHO2	1199	449385	1752.5	28574.3	2028.8000000000002	34622.5	pass
02/08	A	G10	188	PHO2	4993	374607	751.5	14961.3	1259.8000000000002	22314.3	pass
02/08	A	G11	188	PHO2	4874	393361	980.5	16545.3	1447.8000000000002	23321.1	pass
02/08	A	G12	188	PHO2	4983	390181	830.5	15886.3	1260.6	22517.8	pass
02/08	A	H2	235	pho2∆	5055	363881	2948.5	5257.3	4711.1	8071.4000000000005	pass
02/08	A	H3	235	pho2∆	4885	362701	2032.5	4041.3	3247.2999999999997	6103.6	pass
02/08	A	H4	235	pho2∆	5141	351663	2451.5	4542.3	4153.6	7381.2	pass
02/08	A	H5	NA	pho2∆	5155	397968	24.5	683.3	78	945.0999999999999	pass
02/08	A	H6	239	pho2∆	5007	344459	3881.5	9330.3	6610.700000000001	15335.199999999999	pass
02/08	A	H7	239	pho2∆	4945	338086	2972.5	8365.3	5233	14091.8	pass
02/08	A	H8	239	pho2∆	5110	326484	1844.5	7052.3	3542.0000000000005	12219.9	pass
02/08	A	H9	NA	PHO2	5144	400126	79	625.3	143.10000000000014	856	pass
02/08	A	H10	188	pho2∆	4957	370823	813.5	13851.3	1366.5	20540.399999999998	pass
02/08	A	H11	188	pho2∆	4531	374185	917.5	15407.3	1467.9	22462.7	pass
02/08	A	H12	188	pho2∆	4853	368822	656.5	12151.3	1145.2000000000003	18406.7	pass
02/09	A	A1	194	PHO2	5154	439634.5	1743.5	27397.3	2108.8	34275.100000000006	pass
02/09	A	A2	194	PHO84	5078	448962.5	1670.5	39070.3	1947.3000000000002	47642.4	pass
02/09	A	A3	194	PHO84	5122	434907	1747	42465.8	2158.4	53917.4	pass
02/09	A	A4	194	PHO84	3256	459244.5	1737.5	40023.3	1954.3000000000002	47322.700000000004	pass
02/09	A	A5	194	PHO2	5153	447293	1655.5	26550.3	1939.3000000000002	32300	pass
02/09	A	A6	213	PHO2	5076	392276.5	990.5	10899.3	1491.5	15434.199999999999	pass
02/09	A	A7	213	PHO2	5202	405482.5	1128.5	12232.8	1534.3000000000002	16655.399999999998	pass
02/09	A	A8	213	PHO2	5177	406996	1313.5	13313.3	1792.9	18234.2	pass
02/09	A	A9	194	PHO2	5281	446140	1463.5	22863.3	1719.3000000000002	28315.899999999998	pass
02/09	A	A10	234	PHO2	2751	538643	1870.5	47349.3	1395.9	44841.5	pass
02/09	A	A11	234	PHO2	5773	540909	1208.5	41171.3	818.4000000000001	38624.8	pass
02/09	A	A12	234	PHO2	1826	541004	1894.5	52541.3	1393.4	49397.8	pass
02/09	A	B2	194	pho2∆	5278	411092.5	1353.5	965.8	1782.7000000000003	1280.3	pass
02/09	A	B3	194	pho2∆	5217	400065	1307.5	1130.3	1752.9	1518.3	pass
02/09	A	B4	194	pho2∆	5274	378477	1138	1211.8	1774.4	1687.7	pass
02/09	A	B6	213	pho2∆	5324	374482.5	1146.5	10585.3	1844.3000000000002	15635.699999999999	pass
02/09	A	B7	213	pho2∆	5124	377729	1237	11160.8	1928.5	16502.7	pass
02/09	A	B8	213	pho2∆	5154	376831.5	1201.5	10916.3	1902.4	16004.599999999999	pass
02/09	A	B9	NA	pho2∆	5244	373079.5	11.5	649.3	144.70000000000005	963.0999999999999	pass
02/09	A	B10	234	pho2∆	5158	296022	1492	3525.3	3373.1	6856.2	pass
02/09	A	B11	234	pho2∆	5035	327028	1968.5	4195.3	3716.7000000000003	7191.4000000000005	pass
02/09	A	B12	234	pho2∆	5038	316577.5	1322	3002.8	2788.3	5363.6	pass
02/09	A	C1	194	PHO2	5091	444367	1906.5	23323.3	2254.9	28592	pass
02/09	A	C2	188	PHO2	5143	401761	1069.5	13764.3	1524.7000000000003	18689.399999999998	pass
02/09	A	C3	188	PHO2	5037	392437	1052.5	14054.3	1571.1	19875.6	pass
02/09	A	C4	188	PHO2	5076	392017.5	693.5	12602.8	1067.1	17717.2	pass
02/09	A	C5	194	PHO2	5140	443648.5	1610	24741.3	1905.4	30450.1	pass
02/09	A	C6	232	PHO2	5056	423926.5	1556.5	27336.8	2039.5	36261.700000000004	pass
02/09	A	C7	232	PHO2	3419	445504	1740.5	29541.3	2052.9	36685.600000000006	pass
02/09	A	C8	232	PHO2	5045	439266	1598.5	28475.3	1934.7000000000003	36240.4	pass
02/09	A	C9	194	PHO2	5100	414016.5	1193.5	18868.3	1638.7000000000003	25537.899999999998	pass
02/09	A	C10	235	PHO2	5191	344837	1535.5	2349.3	2683.9	3763.8	pass
02/09	A	C11	235	PHO2	5135	350528	1438.5	2595.3	2475.1	4125.1	pass
02/09	A	C12	235	PHO2	5217	340366	1352.5	2169.3	2489.9	3556.6000000000004	pass
02/09	A	D1	NA	PHO2	5222	379994	67.5	359.3	201.60000000000014	522.3	pass
02/09	A	D2	188	pho2∆	5116	382576	1136.5	13195.3	1734.5	19357.399999999998	pass
02/09	A	D3	188	pho2∆	5189	397190	1224.5	14799.3	1750.5	20336.6	pass
02/09	A	D4	188	pho2∆	5141	369476	602.5	11004.3	1058.7000000000003	16365.599999999999	pass
02/09	A	D6	232	pho2∆	5184	373825	1220.5	975.8	1795.8000000000002	1415.5	pass
