well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	23110	22992	8548	8001	422149	2227	21895	2885.6	28248.5
A2	440-555-1	440-555-1	30470	30185	8660	8061	433809	1732	18151	2149.5	22047.5
A3	440-555-2	440-555-2	24454	24337	8771	8208	413872	1529	15088	1984.5	19703.1
A4	440-555-3	440-555-3	29170	28879	8795	8202	407433.5	1546.5	15805.5	2009.8	21101
A5	194-555-5	194-555-5	22183	22112	8685	8206	398939.5	2042	17267.5	2782.1	24051
A6	442-555-1	442-555-1	25364	25146	8633	8037	387307	5500	10010	7760.9	13759.5
A7	442-555-2	442-555-2	29748	29292	8734	7909	407779	6520	12376	8687.6	16319.3
A8	442-555-3	442-555-3	25689	25318	8570	7827	395462	4264	11339	5902.1	15489.3
A9	194-555-9	194-555-9	25615	25386	8644	7816	410033.5	6441.5	18585	8509.1	24845.8
A10	445-555-1	445-555-1	24024	23768	8378	7922	356999.5	6782.5	621	10665.4	936.1
A11	445-555-2	445-555-2	27229	26944	8542	8123	379784	5122	715	7507.1	1006
A12	445-555-3	445-555-3	25048	24817	8629	8250	364008.5	2410.5	766	3712.7	1155.7
B1	NA-blank-1	NA-blank-1	268	93	37	33	249794	3031	884	6947.3	2341.1
B2	440-373-1	440-373-1	36941	36416	8509	8030	406060	2265.5	4579.5	3116.6	6573.1
B3	440-373-2	440-373-2	28679	28331	8431	7927	382592	2586	4117	3794.5	6093.7
B4	440-373-3	440-373-3	25279	25021	8239	7758	383051	2196.5	2531.5	3226.1	3745.7
B5	NA-156-2	NA-156-2	24424	24136	8566	8097	376821	661	72	951.3	98.6
B6	442-373-1	442-373-1	34406	32143	8914	8355	397232	2321	1175	2981.7	1484.1
B7	442-373-2	442-373-2	34871	34435	8017	7676	388966.5	8032	2550	11751.2	3999.9
B8	442-373-3	442-373-3	26405	26101	8363	8092	357768	6040.5	2572	10269.1	4376.9
B9	NA-373-3	NA-373-3	22076	21126	8415	7541	327947	3275	816	5291.6	1335.5
B10	445-373-1	445-373-1	24877	24155	8349	7946	370371.5	5407	698	8114.7	1021.2
B11	445-373-2	445-373-2	24510	23948	8198	7701	370490	3242	729	4702.1	1053.8
B12	445-373-3	445-373-3	27945	26077	6158	5726	375918.5	3974.5	2072.5	5669	2905.5
C1	194-555-2	194-555-2	21688	21613	8563	8058	394738	1680	15477.5	2339.5	21737.7
C2	253-555-1	253-555-1	35480	33514	9227	8748	407722.5	1599	1505	2006.3	1880.2
