well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	25046	23036	3847	2134	259294.5	1520	15917.5	3353.8	35939.8
A2	239-555-1	239-555-1.1	46218	34935	6163	5400	517594.5	3616	48254.5	3374.6	47572.3
A2	239-555-1	239-555-3.1	46392	35413	6621	5799	507936	3454	41699	3305.3	41484.5
A3	239-555-2	239-555-1.2	33227	24575	3996	3466	518584.5	3247.5	42980	3025.4	41234.1
A3	239-555-2	239-555-3.2	51344	35712	6406	5538	525455	3297	42292	3028.7	39842.5
A4	239-555-3	239-555-1.3	25221	23097	5667	5124	461479	4056.5	47860.5	5141.7	58642
A4	239-555-3	239-555-3.3	15447	14671	4357	3796	435275	4511.5	49988.5	5805.7	63981.6
A5	194-555-5	194-555-5	17500	17203	5631	5252	413382	2167.5	21234	2884.6	28825.5
A9	194-555-9	194-555-9	16328	16068	5418	5081	399533	1904	18584	2590	25636.3
B1	NA-blank-1	NA-blank-1	6491	5302	1993	1931	394195	1126	1027	1469.3	1340.3
B5	NA-156-2	NA-156-2	17016	16472	5509	5128	391126.5	731	76	1023.2	101.4
B9	NA-373-3	NA-373-3	16065	15700	5294	4958	341167	714	720.5	1159.2	1166.9
C1	194-555-2	194-555-2	16547	16298	5628	5153	412841	2337	25230	3091	33950.8
C2	221-555-1	221-555-1	20502	19728	5669	5107	440830	2026	35152	2476.2	43946.1
C3	221-555-2	221-555-2	18407	17910	5800	5194	433783	1953	31782.5	2475.6	40544.4
C4	221-555-3	221-555-3	19510	18989	5639	5074	423704	1895	31836	2432.7	42355.4
C5	194-555-6	194-555-6	16327	16057	5389	5026	402236	2107.5	19820.5	2869.2	27460.1
C9	194-555-10	194-555-10	15387	15200	5384	5007	398023	1889	17373	2604	24151.2
D1	NA-555-1	NA-555-1	15514	15156	5525	5193	352166	807	725	1249.8	1145.7
D2	231-555-1	231-555-1	19013	18507	5514	4862	415377.5	2623	36403.5	3583.6	49825.9
D3	231-555-2	231-555-2	19751	19331	5204	4668	393114	2411	32248.5	3476.2	46792.8
D4	231-555-3	231-555-3	18056	17715	5552	4988	415288.5	2603	38117.5	3613	52610.7
D5	NA-blank-2	NA-blank-2	1852	264	62	58	213945.5	1212	773.5	2978.9	2513.8
D9	NA-156-3	NA-156-3	16664	16305	5587	5224	395519.5	704	75	979.8	100
E1	194-555-3	194-555-3	16463	16165	5571	5191	413114	2210	21880	2909	29348.2
E2	301-555-1	301-555-1	18720	17762	5728	5024	404598.5	3892.5	37704.5	5776.4	54898.8
E3	301-555-2	301-555-2	18766	17871	5612	4934	377509	3754.5	35073.5	6019.8	55831.8
E4	301-555-3	301-555-3	22212	20479	5681	5230	445762	3422.5	35195	4286.3	45334.4
E5	194-555-7	194-555-7	15426	15224	5558	5182	406103	2083	19385.5	2791.2	26433.8
E6	194-529-1	194-529-1	16435	16110	5584	5197	413089	2163	31131	2826.4	41348.8
E7	194-529-2	194-529-2	15180	14968	5564	5175	394743	1841	26395	2556.9	37092.6
E8	194-529-3	194-529-3	15894	15658	5554	5164	397195.5	1895	23735	2553.8	32987.7
E9	194-555-11	194-555-11	16265	16053	5721	5309	406072	1858	17153	2506.1	23526
F1	NA-373-1	NA-373-1	16436	15903	5364	5030	348154	754.5	930	1187.3	1478
F2	334-555-1	334-555-1	21767	19622	5522	4950	419429.5	3546	39558.5	5157.3	56424.8
