well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	14724	14583	5639	5205	398714	2322	28677	3226.2	40467.8
A2	194-529-1	194-529-1	15744	15496	5651	5178	396082.5	2268	37737	3123.8	53195.7
A3	194-529-2	194-529-2	16463	16168	5577	5155	429028	2338	36068	3019	47488.5
A4	194-529-3	194-529-3	16428	16138	5570	5163	419629	2275	34693	2985.7	46106.1
A5	194-555-5	194-555-5	15484	15309	5593	5279	385944	1795	22713	2566.8	33285.6
A6	276-555-1	276-555-1	17116	16740	5513	5137	393817	1426	14866	1993.9	20691
A7	276-555-2	276-555-2	17362	16984	5611	5204	379889	1360	14830.5	1986.5	21553.9
A8	276-555-3	276-555-3	16301	16085	5525	5113	376469	1244	12046	1813.1	17638.9
A9	194-555-9	194-555-9	19887	19017	5148	4796	414344.5	2241	25711	2963.1	34935.8
A10	254-555-1	254-555-1	17933	17506	5653	5133	435429	4480	33907	5710.3	42482.8
A11	254-555-2	254-555-2	15896	15671	5480	5062	409571.5	3631.5	27334	4925	37637.3
A12	254-555-3	254-555-3	18895	18174	5368	4914	428096	4601	29829	5932.1	38918.9
B1	NA-blank-1	NA-blank-1	1484	1293	433	413	391166	1536	2496	2131.5	2484.3
B2	194-373-1	194-373-1	17726	17125	5610	5338	394703.5	2329.5	1432	3072.6	1941.9
B3	194-373-2	194-373-2	16848	16394	5578	5273	375030	2178	1476	3112.8	2104.9
B4	194-373-3	194-373-3	17028	16486	5681	5335	386610	2172	1216	2988.8	1708.9
B5	NA-156-2	NA-156-2	16744	16486	5516	5243	414713	856	165	1132.8	214.3
B6	276-373-1	276-373-1	17498	17102	5113	4812	340469	1535.5	6965	2544.1	11278.7
B7	276-373-2	276-373-2	19595	18787	5418	5048	377998	2083.5	9409.5	3002.3	13626.7
B8	276-373-3	276-373-3	16779	16385	5284	4927	376672	1998	8765	2964.4	12876
B9	NA-373-3	NA-373-3	18398	17830	5479	5142	397159.5	921	754	1254.7	1042.6
B10	254-373-1	254-373-1	16643	16367	5353	4971	394538	5920	10879	8040	15251.1
B11	254-373-2	254-373-2	15169	14902	5328	4986	384327	5226	10508	7684.2	15517.5
B12	254-373-3	254-373-3	16607	16173	5239	4904	393073	5963.5	11529	8356.6	16116.8
C1	194-555-2	194-555-2	17361	16982	5474	5129	416585	2178	23288	2865.3	30970.4
C2	188-555-1	188-555-1	19218	18733	5445	5042	402266.5	2029	19071	2769.5	26392.4
C3	188-555-2	188-555-2	18525	18215	5434	5040	395413.5	1915.5	18871	2704.1	26360.5
C4	188-555-3	188-555-3	17049	16770	5502	5100	404156	1923	18501.5	2651.8	25804.9
