well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	14528	14367	5795	5249	404760	2392	30693	3239.6	42818.3
A2	194-529-1	194-529-1	16490	16156	5585	5363	395655	1999	26818	2717.4	37173.5
A3	194-529-2	194-529-2	16365	16100	5643	5430	387860	1980.5	24866	2801.6	34503.3
A4	194-529-3	194-529-3	17057	16762	5625	5362	393479.5	2172	26912.5	3051.6	37403.3
A5	194-555-5	194-555-5	16331	16057	5675	5340	411342.5	2143	25255.5	2857.8	34456.8
A6	301-555-1	301-555-1	32339	27348	5890	5418	491733	3065	46117	3127.1	47627
A7	301-555-2	301-555-2	34906	28944	5864	5386	513136.5	2924	42585	2886.3	42038.9
A8	301-555-3	301-555-3	17648	17155	5464	5133	393914	913	105	1254.3	143.4
A9	194-555-9	194-555-9	16684	16323	5624	5222	391799	1847	25780.5	2562.3	36787.2
A10	326-555-1	326-555-1	17976	17590	5394	5069	383654	2000	7383	2833.6	10489.5
A11	326-555-2	326-555-2	16726	16480	5289	5024	347562.5	1981	6161.5	3211.4	9875.6
A12	326-555-3	326-555-3	15754	15592	5432	5109	350398	1899	6391	2962.8	10151.1
B1	NA-blank-1	NA-blank-1	195	66	23	21	326256	1726	8159	3630.8	12949.8
B2	194-373-1	194-373-1	17306	16869	5472	5211	390918	2148	1352	2928.6	1869
B3	194-373-2	194-373-2	16655	16266	5572	5270	385258.5	2027	1389	2848.1	1979.2
B4	194-373-3	194-373-3	16184	15888	5582	5288	385508.5	1821	1386	2530.5	1930.1
B5	NA-156-2	NA-156-2	15338	15194	5543	5164	381373	733	84	1025.4	114.1
B6	301-373-1	301-373-1	15627	15364	5413	5188	363700.5	10715	5671.5	17193.9	8866.4
B7	301-373-2	301-373-2	16187	15853	5380	5145	356098	9400	5461	15005.8	8710
B8	301-373-3	301-373-3	15764	15455	5360	5139	356108	8541	4843	14114.3	7647.7
B9	NA-373-3	NA-373-3	16828	16366	5481	5119	375741	786	878	1130.8	1268.8
B10	326-373-1	326-373-1	17152	16733	5344	5075	345408	2479	7579	3904	12347.4
B11	326-373-2	326-373-2	17041	16674	5355	5068	364474	3074	9575	4582.4	14562
B12	326-373-3	326-373-3	15362	15068	5462	5193	317993	2449	7554	4209.5	13262.6
C1	194-555-2	194-555-2	17391	17036	5606	5288	416952	2336	27026.5	3089.4	36216.3
