well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	14021	13872	5634	5213	419505	2549	25767	3391.4	34302.9
A2	301-555-1	301-555-1	21329	20267	5830	5357	462471	2542	39681	2774.5	43477.7
A3	301-555-2	301-555-2	26745	24785	5911	5344	485967.5	2913.5	43087	2992.2	44605.4
A4	301-555-3	301-555-3	16844	16425	5625	5260	397152	984	95	1328.4	129.6
A5	194-555-5	194-555-5	16719	16444	5542	5217	438505	2255	27673	2881.3	35387.6
A6	326-555-1	326-555-1	17175	16946	5411	5118	409130	2473.5	9314	3291.7	12565.3
A7	326-555-2	326-555-2	15915	15761	5399	5083	406869	2675	8862	3558.3	11795.2
A8	326-555-3	326-555-3	15492	15385	5465	5190	379209.5	2346	7881.5	3410.7	11457.1
A9	194-555-9	194-555-9	18125	17726	5632	5239	426236	2410	28784	3069.6	37331.3
A10	330-555-1	330-555-1	17958	17707	5380	5096	400805	2266	7508.5	3103.3	10307.1
A11	330-555-2	330-555-2	15800	15681	5577	5269	351703	1877	5801	2989.1	9210.6
A12	330-555-3	330-555-3	16711	16551	5557	5244	377003	2221	6243	3242.8	9221.8
B1	NA-blank-1	NA-blank-1	509	153	61	59	315398	1580	3162	2946.7	6847.6
B2	301-373-1	301-373-1	13795	13519	5416	5183	356962	8736	6211	14141.2	9867.2
B3	301-373-2	301-373-2	15816	15420	5188	4973	357770	10930	6423	17577.8	10103.6
B4	301-373-3	301-373-3	14751	14500	5332	5092	384405.5	12739.5	7633	18862	10633.1
B5	NA-156-2	NA-156-2	14964	14893	5528	5241	392293	796	73	1094.7	94.9
B6	326-373-1	326-373-1	14833	14559	5383	5057	389125	3099	9335	4358.3	13150.2
B7	326-373-2	326-373-2	14828	14579	5473	5128	374609	3548	8927	5164.3	13193.9
B8	326-373-3	326-373-3	15416	15111	5411	5086	409525	3564.5	11549.5	4938.8	15857.5
B9	NA-373-3	NA-373-3	18336	17728	5512	5193	373646	835	724	1205.8	1070.8
B10	330-373-1	330-373-1	15437	15322	5402	5128	379154.5	2176	6110.5	3190.7	8923.6
B11	330-373-2	330-373-2	16960	16719	5406	5096	401865	2455	7225	3423.1	10025
B12	330-373-3	330-373-3	17143	16836	5500	5216	390973.5	2456	7111.5	3474.4	10123.6
