well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	16736	16530	5576	5098	416295.5	2418	28494.5	3187.7	38059.6
A2	239-555-1	239-555-1.1	25766	23290	6152	5583	490210	3150	44743	3162.1	45845.4
A2	239-555-1	239-555-3.1	35254	29413	5757	5160	517697	3222.5	42624.5	3022.1	41673.4
A3	239-555-2	239-555-1.2	36190	30385	5998	5300	506907.5	3238	44322	3084.2	43545.1
A3	239-555-2	239-555-3.2	28632	24985	5772	5194	501073	3135.5	40883	3066	40337
A4	239-555-3	239-555-1.3	22276	20881	5474	4985	462122	3890	45763	4964.6	58071
A4	239-555-3	239-555-3.3	20332	19135	4836	4330	439373	4631.5	45583.5	5946.4	60038.6
A5	194-555-5	194-555-5	16154	15953	5514	5137	391630	1885	22287	2631.6	31889.4
A9	194-555-9	194-555-9	15818	15662	5506	5016	391697	1811	19015.5	2535.5	26991.1
B1	NA-blank-1	NA-blank-1	1777	239	68	54	157006	557.5	130	2159.7	543.7
B5	NA-156-2	NA-156-2	16845	16329	5362	5014	381297	684	75	974.4	100.9
B9	NA-373-3	NA-373-3	16513	16000	5366	5011	360243	743	721	1125.3	1104.3
C1	194-555-2	194-555-2	16342	16074	5400	5002	384864	1966.5	21470	2824.7	31227.9
C2	221-555-1	221-555-1	19303	18743	5471	5029	417547	1801	33126	2354.5	44828.9
C3	221-555-2	221-555-2	18464	18055	5401	4983	407327	1690	32258	2299.5	45046.3
C4	221-555-3	221-555-3	17615	17269	5538	5087	411428	1755	31813	2329.6	43624.7
C5	194-555-6	194-555-6	15109	14952	5713	5395	382059	1914	20090	2778	29979.3
C9	194-555-10	194-555-10	15393	15268	5610	5240	398053	2043	20073	2831	28285.8
D1	NA-555-1	NA-555-1	15383	15063	5511	5196	366059.5	785	786	1169.3	1175.7
D2	231-555-1	231-555-1	17902	17565	5343	4892	423757	2719	41171.5	3610.8	55307.4
D3	231-555-2	231-555-2	16754	16523	5400	4946	424290	2648	37224.5	3563.1	50345.5
D4	231-555-3	231-555-3	16649	16431	5439	5027	427231	2634	40661	3603.1	54630.8
D5	NA-blank-2	NA-blank-2	1718	253	44	42	146846	737.5	205	2368.8	981.3
D9	NA-156-3	NA-156-3	15301	15086	5541	5196	375982	677	75	958.5	103.7
E1	194-555-3	194-555-3	16371	16140	5628	5246	397663	2093	21048.5	2908.8	29746.8
E2	301-555-1	301-555-1	18970	17980	5475	4868	413761	3950	36804	5908.1	52424
E3	301-555-2	301-555-2	17852	17061	5467	4819	403594	4009	36649	6078.2	53773.5
E4	301-555-3	301-555-3	17410	16746	5577	4943	403634	4033	33893	6093.8	50738.9
E5	194-555-7	194-555-7	15785	15586	5413	5026	402015	2114.5	20411.5	2896.1	28270.1
E6	194-529-1	194-529-1	15049	14869	5485	5166	374680	1804	26901	2606.5	39819.3
E7	194-529-2	194-529-2	14193	14068	5568	5279	366265	1514	25742	2255.5	38381.1
E8	194-529-3	194-529-3	14610	14440	5485	5161	373162	1590	27740	2287.8	40500.8
E9	194-555-11	194-555-11	14594	14467	5603	5270	390294	2047	22011	2923.1	32345.2
F1	NA-373-1	NA-373-1	16796	16079	5306	4950	359542.5	743	914.5	1127.5	1393
F2	334-555-1	334-555-1	18697	17980	5300	4774	422891.5	4480	43338	6082.1	58352.4
F3	334-555-2	334-555-2	16156	15820	5538	4955	403287	4227	40202	5983.2	57788
F4	334-555-3	334-555-3	16590	16197	5407	4752	406701	4363	44145	6017.9	61917.4
F5	NA-555-2	NA-555-2	14355	14150	5484	5175	359357	744	629	1140.8	972.3
F6	188-555-1	188-555-1	16313	16064	5374	4935	362926	1595	13901	2435.3	21569.8
F7	188-555-2	188-555-2	16824	16536	5303	4896	383216.5	1677	15927	2445.2	23344.7
F8	188-555-3	188-555-3	17402	17082	5316	4913	384143	1636	14838	2379.4	21583.2
F9	NA-blank-3	NA-blank-3	1722	253	53	48	160615	668.5	217.5	2086	851.7
G1	194-555-4	194-555-4	15211	15076	5453	5081	390271	2054	20330	2894.1	29628.1
G2	251-555-1	251-555-1	28418	23824	5691	4341	511396	2976	38092	2828.3	37269.5
G3	251-555-2	251-555-2	25950	23013	5742	5342	490684.5	3006.5	36099.5	2958.4	35863.2
G4	251-555-3	251-555-3	22486	20739	5444	4999	481119	3041	39445	3241.8	43325.5
G5	194-555-8	194-555-8	15435	15299	5414	5018	400323	2127	19345.5	2943.9	27047.9
G6	188-373-1	188-373-1	17387	16984	5077	4726	362257	1637.5	12865	2491.9	19680.3
G7	188-373-2	188-373-2	17736	17413	5189	4854	358062.5	1644	14003	2531.4	22026.5
G8	188-373-3	188-373-3	17146	16772	5157	4793	358364	1652	13791	2562.5	21757.9
G9	194-555-12	194-555-12	15517	15360	5351	5037	382394	1840	17635	2642.2	25661.1
H1	NA-156-1	NA-156-1	15348	15050	5706	5332	373687.5	657	75	949.2	104.9
H2	329-555-1	329-555-1	30113	25992	5266	4657	466092	3331	56759	3771.9	64710.5
H3	329-555-2	329-555-2	25494	23191	5185	4606	464614	3282.5	61171	3736.7	70204.6
H4	329-555-3	329-555-3	26563	23353	5468	4935	475914	3164	54502	3502.3	60956.8
H5	NA-373-2	NA-373-2	17761	16673	5368	4992	347025	718	747.5	1118.7	1186
H6	194-373-1	194-373-1	16321	15692	5357	5051	362371	2069	1133	2990.6	1648.8
H7	194-373-2	194-373-2	15150	14485	5744	5322	314234	2072	1277	3891.6	2656
H8	194-373-3	194-373-3	15469	14992	5424	5087	348739	1998	1011	2963.5	1478.7
H9	NA-555-3	NA-555-3	15117	14890	5391	5092	369414	749	686	1097.2	1028.5
