well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	14502	14395	5779	4968	418222.5	2205	20930.5	2883.6	27656.3
A2	211-555-1	211-555-1	32131	29262	5866	5228	527256	3328	50755	3149.2	47866.7
A3	211-555-2	211-555-2	31071	27658	5822	5186	503482.5	2681	44888.5	2675.1	44737.5
A4	211-555-3	211-555-3	20155	16866	3589	3193	506785	2876	41949	2824.1	41796.1
A5	194-555-5	194-555-5	15787	15649	5622	4975	404114	1960	20138	2664	27827.8
A6	220-555-1	220-555-1	16934	16750	5672	5424	374680	1253.5	2004	1785.7	2922.1
A7	220-555-2	220-555-2	16050	15882	5392	5143	369040	1759	3968	2632.8	6196.3
A8	220-555-3	220-555-3	17829	17550	5390	5115	387556	2027	4332	2872.2	6288.8
A9	194-555-9	194-555-9	17908	17543	5776	5134	394769	1874	20140	2564.9	27625.3
A10	222-555-1	222-555-1	17580	17274	5757	5303	417228	1460	25330	1893.8	33509.2
A11	222-555-2	222-555-2	17065	16732	5654	5180	404897.5	1406.5	25189.5	1905.3	35054.1
A12	222-555-3	222-555-3	21443	20461	5710	5177	449162	1631	33036	1928.9	39753.3
B1	NA-blank-1	NA-blank-1	1580	487	155	151	216530	1857	591	5791.7	1500.6
B2	211-373-1	211-373-1	18543	18137	5363	4989	441868	4923	19568	5935.1	23804.8
B3	211-373-2	211-373-2	17383	17078	5635	5272	430794.5	4685	18152.5	5978.6	23388.8
B4	211-373-3	211-373-3	17200	16847	5717	5299	411393	4112	17632	5557.2	23781.6
B5	NA-156-2	NA-156-2	13203	12123	3704	3303	506013	961	86	976.4	85.9
B6	220-373-1	220-373-1	18909	18359	5428	5120	404774	1605.5	2196.5	2105.7	2943.8
B7	220-373-2	220-373-2	16418	16054	5662	5444	373577	1770	3104.5	2630.2	4884.4
B8	220-373-3	220-373-3	19453	18820	5720	5349	403754	1794	2438	2345.2	3272.7
B9	NA-373-3	NA-373-3	6363	5213	991	915	494967	1884	950	1928.1	1065.3
B10	222-373-1	222-373-1	18231	17927	5355	5062	399387	2560.5	6027.5	3748.1	8921.9
B11	222-373-2	222-373-2	18557	18181	5374	5095	382306	2621	5906	3859.8	8751.1
B12	222-373-3	222-373-3	22127	21471	5339	5032	379054	3019.5	6318	4576.2	9741.3
C1	194-555-2	194-555-2	16169	16047	5655	5075	421992	2253	21527	2900.7	27901.6
C2	210-555-1	210-555-1	17298	17156	5554	5296	403337.5	1977.5	5376	2652.4	7080.6
C3	210-555-2	210-555-2	15967	15845	5451	5180	383448.5	1900.5	5498	2649.9	7617.7
C4	210-555-3	210-555-3	16933	16726	5460	5138	383721	1472	5892.5	2080.1	8265.2
C5	194-555-6	194-555-6	15284	15193	5710	5132	405208.5	1975.5	19327.5	2645.7	26166.5
C6	221-555-1	221-555-1	16855	16569	5533	5220	397847.5	852	741.5	1152	1007.7
C7	221-555-2	221-555-2	17603	17088	4980	4538	441996.5	2049.5	32825.5	2502	40730.8
C8	221-555-3	221-555-3	17945	17533	5718	5262	434774.5	1919	31479.5	2393.2	40503.7
C9	194-555-10	194-555-10	15780	15614	5620	5065	388968	1816	20115	2565.6	28725.9
C10	227-555-1	227-555-1	15759	15581	5490	5178	371437.5	3043	5781	4582.5	8641.4
C11	227-555-2	227-555-2	18986	18639	5571	5245	392388	2824	7461	3898.9	10330
C12	227-555-3	227-555-3	18563	18197	5313	5034	367640.5	3531	6699	5214.6	9930.5
D1	NA-555-1	NA-555-1	10710	9446	1321	1220	486074	1535	469	1547.9	518.1
D2	210-373-1	210-373-1	18245	17962	5370	5117	423116	2324	7097	3019.8	9148.9
D3	210-373-2	210-373-2	18168	17872	5128	4868	380766.5	1877	6136	2732.1	8872.6
D4	210-373-3	210-373-3	16364	16121	5470	5174	377757.5	1800	5791	2688.7	8437.7
D5	NA-blank-2	NA-blank-2	1258	269	74	74	204659	1600.5	442	4162.3	1265.4
D6	221-373-1	221-373-1	16566	16395	5269	5013	376080	1919	5540	2846.2	8327.9
D7	221-373-2	221-373-2	18418	18103	5237	4996	363586	1867	5712.5	2860.7	8657.5
D8	221-373-3	221-373-3	19481	18999	5226	4982	360736.5	1981	6195.5	3045.1	9183.3
D9	NA-156-3	NA-156-3	6533	5466	1199	1127	480734	1143	107	1154.6	110.8
D10	227-373-1	227-373-1	17937	17552	5334	5058	414157.5	4972	8754	7035.2	12089.8
D11	227-373-2	227-373-2	18841	18381	5285	5027	369888	4237	8901	6468.1	13579.3
D12	227-373-3	227-373-3	19252	18797	5257	5023	375755	5550	9703	8474.2	14513.4
E1	194-555-3	194-555-3	14555	14471	5498	4834	404668	2126	19358	2873.2	26852.8
E2	217-555-1	217-555-1	15709	15596	5478	5223	392910	2346	8312	3331.2	11732.5
E3	217-555-2	217-555-2	15196	15085	5264	4958	369024.5	2231	7960	3379.8	11970.6
E4	217-555-3	217-555-3	15438	15320	5385	5089	375003	2024	8117	3025.9	12259.7
E5	194-555-7	194-555-7	15362	15251	5542	4872	396040.5	1817	18459.5	2487	25843.1
E6	223-555-1	223-555-1	25835	23282	5809	5325	509748	2853	38358	2816	37821.6
E7	223-555-2	223-555-2	27625	24495	5850	5333	504938	2836	42621	2822.8	42510.4
E8	223-555-3	223-555-3	22271	20161	5809	5440	468018	2525	32830.5	2754.5	35994.9
E9	194-555-11	194-555-11	15379	15201	5648	5114	358054	1446	17133	2219.5	26772
E10	194-529-1	194-529-1	16349	16054	5669	5296	396275	1885	29827	2610.9	41611.1
E11	194-529-2	194-529-2	19128	18514	5577	5101	427597	2231	38087	2800.7	47941.6
E12	194-529-3	194-529-3	18535	18111	5519	5067	409804	2146	34732	2815.2	45871.9
F1	NA-373-1	NA-373-1	17109	15864	3833	3504	481915.5	1639	895	1696.3	967
F2	217-373-1	217-373-1	16073	15854	5420	5144	409079.5	2925	10181.5	3973.5	13679.9
F3	217-373-2	217-373-2	16413	16047	5523	5183	418784	2881	10597	3870.5	13959.6
F4	217-373-3	217-373-3	14848	14686	5369	5044	378119.5	2545.5	9583	3830.2	14318.4
F5	NA-555-2	NA-555-2	5071	4116	687	627	472499	1574	514	1733.1	613.9
F6	223-373-1	223-373-1	18415	18141	5347	5003	389416	3931	14161	5729	20545
F7	223-373-2	223-373-2	18402	18089	5172	4893	362759	3283	12989	5225.2	19945.2
F8	223-373-3	223-373-3	18534	18226	5356	5045	374074	3420	12463	5227.6	18627.9
F9	NA-blank-3	NA-blank-3	1113	248	88	88	198881.5	2179.5	561	5332.4	2024.2
F10	194-373-1	194-373-1	17792	17491	5356	5079	374947	1669	1027	2454.8	1505.1
F11	194-373-2	194-373-2	17256	16805	5565	5238	373226	1561.5	1364.5	2225.6	1968.7
F12	194-373-3	194-373-3	18374	17839	5699	5328	405081.5	2097	1490	2728.2	1965.2
G1	194-555-4	194-555-4	15151	15060	5673	4996	414348.5	2062	18369	2694.2	24495.7
G2	218-555-1	218-555-1	7891	7047	1297	1087	479055	3739	59964	4111.9	65484.6
G3	218-555-2	218-555-2	4714	4024	1115	700	489888.5	3892	58380.5	4188.6	63282.4
G4	218-555-3	218-555-3	2284	1895	386	316	468865.5	3968	63623	4370.8	70751.3
G5	194-555-8	194-555-8	15547	15442	5715	5122	422119.5	2157.5	21423	2775.3	27745.6
G6	224-555-1	224-555-1	16271	16063	5401	5135	382947	863	581	1231.4	825.6
G7	224-555-2	224-555-2	17297	16975	5293	5027	391035	1626	1014	2187.9	1380.4
G8	224-555-3	224-555-3	15866	15662	5308	5020	384825.5	884	588	1252.9	843.6
G9	194-555-12	194-555-12	15219	15092	5509	4963	383168	1706	18673	2452.2	26679.9
G10	188-555-1	188-555-1	18981	18563	5508	5101	387131	1547	14632	2201.2	20601.9
G11	188-555-2	188-555-2	19157	18525	5539	5062	403189	1770	17907.5	2375.7	24085.1
G12	188-555-3	188-555-3	17576	17238	5471	5063	386787	1587	15354	2279.7	21643
H1	NA-156-1	NA-156-1	10053	8756	1747	1570	505535.5	1088	95	1111.8	94.9
H2	218-373-1	218-373-1	15710	15573	5267	4945	380012	4543	9645	6597.8	13974.4
H3	218-373-2	218-373-2	15525	15323	5367	4989	384043	4578	10729	6695	15730.7
H4	218-373-3	218-373-3	16535	16340	5264	4952	376243	4478.5	10245	6736	15363.1
H5	NA-373-2	NA-373-2	5943	4818	611	558	410619.5	1514	721.5	1751	923.2
H6	224-373-1	224-373-1	16552	16248	5582	5327	369483	1395	1144	2020.6	1683.9
H7	224-373-2	224-373-2	16278	15999	5474	5213	380303	1805	1295	2587.7	1908.1
H8	224-373-3	224-373-3	17376	16806	5541	5267	383027	1611	1086	2254.7	1557
H9	NA-555-3	NA-555-3	12931	11670	2154	2053	422385	1458	535	1594.9	638.9
H10	188-373-1	188-373-1	19224	18771	5354	5008	374444.5	1611	13728.5	2360.1	20095.9
H11	188-373-2	188-373-2	17902	17454	5401	4978	377533	1761	14961.5	2560.5	21751.9
H12	188-373-3	188-373-3	18938	18428	5334	4944	371423.5	1682	14853	2500.4	21762.3
