date	plasmid	host	CV_BL1.H	CV_YL2.H	CV_FSC.H	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/08	209	PHO2	0.355	0.312	0.065	C10	9427	351768	720.5	7213.3	1341.7000000000003	11501.3
02/08	209	PHO2	0.355	0.312	0.065	C11	7230	400359.5	1491.5	13383.8	2065.9	18128.899999999998
02/08	209	PHO2	0.355	0.312	0.065	C12	9278	372038	1053.5	9425.8	1720.1	14077.599999999999
02/08	209	pho2∆	0.434	0.304	0.042	D10	9379	334949	516.5	5661.3	1148.9	9462.599999999999
02/08	209	pho2∆	0.434	0.304	0.042	D11	8921	362538	1347.5	10631.3	2240.1	16241.5
02/08	209	pho2∆	0.434	0.304	0.042	D12	9094	358023.5	1199.5	9594.3	2053.5	15110
02/08	213	PHO2	0.402	0.282	0.06	A2	9122	408931.5	1269	15231.8	1732.1	20659.6
02/08	213	PHO2	0.402	0.282	0.06	A3	9455	411686	753.5	12121.3	1103.8000000000002	17061.7
02/08	213	PHO2	0.402	0.282	0.06	A4	2848	454196.5	1769	21092.3	1990.6	24931.2
02/08	213	pho2∆	0.361	0.234	0.036	B2	8650	401974	1493.5	14313.8	2055.1	19334
02/08	213	pho2∆	0.361	0.234	0.036	B3	9562	396552	788.5	11426.8	1248.4	16510.7
02/08	213	pho2∆	0.361	0.234	0.036	B4	2719	423976	1705.5	18265.3	2139.2000000000003	23457.8
02/08	215	PHO2	0.16	0.211	0.02	A10	9197	397961	1566.5	10361.3	2228.3	13988.199999999999
02/08	215	PHO2	0.16	0.211	0.02	A11	9200	384521.5	1152.5	6966.3	1755.8000000000002	9786.8
02/08	215	PHO2	0.16	0.211	0.02	A12	8990	384663.5	1516	10298.3	2240.7000000000003	14585.3
02/08	232	PHO2	0.351	0.199	0.044	C2	7301	410334	1449.5	27220.3	2033.6	38449.100000000006
02/08	232	PHO2	0.351	0.199	0.044	C3	9609	386858	761.5	21345.3	1285.8000000000002	31814.1
02/08	232	PHO2	0.351	0.199	0.044	C4	2983	422003	1595.5	32037.3	2070.5	42823.9
02/08	232	pho2∆	0.25	0.318	0.016	D2	9071	385108	1591.5	1408.3	2312.7000000000003	1985.2
02/08	232	pho2∆	0.25	0.318	0.016	D3	9856	386340	1113.5	2471.3	1614.2000000000003	3562.4
02/08	232	pho2∆	0.25	0.318	0.016	D4	4530	396430.5	1866.5	1555.8	2415.7000000000003	2113.8
02/08	234	pho2∆	0.337	0.182	0.023	F2	4963	374243	3028.5	6112.3	4631.700000000001	8752.3
02/08	234	pho2∆	0.337	0.182	0.023	F3	5399	377646	1608.5	4534.3	2511.9	6877.5
02/08	234	pho2∆	0.337	0.182	0.023	F4	4949	390552	3227.5	6493.3	4605.200000000001	8973.5
02/08	235	PHO2	0.467	0.183	0.059	G2	5209	361041	1876.5	3291.3	3032.4	5011.9000000000005
02/08	235	PHO2	0.467	0.183	0.059	G3	5291	341756	701.5	2272.3	1361.5	3611.9
02/08	235	PHO2	0.467	0.183	0.059	G4	5035	384648	1980.5	2799.3	2974.3	4057.7
02/08	239	pho2∆	0.352	0.139	0.027	H6	5007	344459	3881.5	9330.3	6610.700000000001	15335.199999999999
02/08	239	pho2∆	0.352	0.139	0.027	H7	4945	338086	2972.5	8365.3	5233	14091.8
02/08	239	pho2∆	0.352	0.139	0.027	H8	5110	326484	1844.5	7052.3	3542.0000000000005	12219.9
