well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	22062	21791	8389	7697	391864	7377	20231	10563	28488
A2	435-555-1	435-555-1	26330	26009	8709	8136	419577	7150.5	16171.5	9367.2	21116.2
A3	435-555-2	435-555-2	23626	21604	5934	5407	414098	6641	18300	8789.5	24384
A4	435-555-3	435-555-3	22620	22357	8631	8081	411299	6705	19692	9202.2	26982.7
A5	194-555-5	194-555-5	26216	25627	8896	8182	397001	7412.5	19136	10472.9	27301.9
A6	437-555-1	437-555-1	25185	24905	8807	8239	381290	6317	7621	9219.2	10960.8
A7	437-555-2	437-555-2	23026	22854	8662	8172	380288	1406.5	6983.5	2018.4	9952.3
A8	437-555-3	437-555-3	24836	24546	8569	8006	375541	1281.5	8160	1833.3	11648.4
A9	194-555-9	194-555-9	25739	25117	8651	7999	385370	1747	19599	2507.9	28770.4
A10	439-555-1	439-555-1	25427	25087	8715	8216	392095.5	1683	10504.5	2315.7	14636.7
A11	439-555-2	439-555-2	28331	27989	8791	8096	392512.5	1463	11052.5	2006.1	15397.8
A12	439-555-3	439-555-3	23728	23568	8710	8133	375065	1295	10086	1858.7	14559.9
B1	NA-blank-1	NA-blank-1	1191	316	44	41	303110	1464	5239	2114.1	7057.1
B2	435-373-1	435-373-1	27061	26136	8341	8109	401702	8336	1164	11902	1620
B3	435-373-2	435-373-2	23187	22132	8109	7767	352446	8279	2178	13673.8	3784
B4	435-373-3	435-373-3	30700	29178	8457	8158	369962	7082.5	1423	11224.7	2188.9
B5	NA-156-2	NA-156-2	22576	22377	8799	8327	384164	5618	138	8187.3	194.2
B6	437-373-1	437-373-1	26495	25765	8659	8096	396034.5	8668.5	1035	11927.2	1423.2
B7	437-373-2	437-373-2	28887	28142	8612	8169	368124	1702	890	2482.1	1330.6
B8	437-373-3	437-373-3	23516	23244	8391	7967	351592	1309	867	2027.9	1365.8
B9	NA-373-3	NA-373-3	27376	26694	8637	7974	352717	705	685	1092.5	1080.3
B10	439-373-1	439-373-1	24785	24232	8731	8268	372805	1646	770	2355.7	1133.8
B11	439-373-2	439-373-2	24106	23583	8520	7986	366145.5	4383.5	1690.5	6738.7	2561.5
B12	439-373-3	439-373-3	24357	23910	8320	7894	356104.5	1478	829	2240.7	1280
C1	194-555-2	194-555-2	21223	20956	8415	7720	396106	6999	17766	9932.4	25386.1
C2	250-555-1	250-555-1	26788	26387	8623	8230	409552.5	9312	3106.5	12624.6	4350.3
C3	250-555-2	250-555-2	37448	35586	8104	7698	406629.5	9586.5	2186	12897.3	2998
C4	250-555-3	250-555-3	22582	22206	8245	7855	378216	8037	2450	11974.9	3694.8
C5	194-555-6	194-555-6	21687	21456	8529	7961	370712	7069	16052	10831	24544
C6	224-555-1	224-555-1	21800	21571	8485	7915	368171	5593	373	8451.8	560.2
C7	224-555-2	224-555-2	23655	23286	8528	7871	384456	2044	922	2804.3	1286.1
C8	224-555-3	224-555-3	24188	23831	8497	8016	383335	815	558	1149.2	799.6
C9	194-555-10	194-555-10	22953	22690	8494	7864	381527	1802	17891.5	2608.5	26571.9
C10	278-555-1	278-555-1	23224	23016	8293	7915	348530	1681	1652	2673.5	2599.5
C11	278-555-2	278-555-2	24942	24540	8265	7862	362578	1886	2257	2874.2	3455.3
C12	278-555-3	278-555-3	25528	25273	8633	8239	355897	1541	1978	2391.4	3056.3
D1	NA-555-1	NA-555-1	21841	21726	8414	7849	347260	4636	379	7318	593
D2	250-373-1	250-373-1	27061	26590	8186	7759	414677	12896	5111	16727.4	7094.7
D3	250-373-2	250-373-2	25388	24953	8397	7961	419798	11148	3296	14652	4495
