date	plasmid	host	CV_YL2.H	CV_BL1.H	CV_FSC.H	plate	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
02/09	232	pho2∆	0.217	0.251	0.005	A	D7	5076	371777	1957	1506.3	2649.7000000000003	2156.3
02/09	232	pho2∆	0.217	0.251	0.005	A	D8	5081	370476	1401.5	1196.3	2043.9	1749.7
02/09	234	PHO2	0.121	0.235	0.002	A	A10	2751	538643	1870.5	47349.3	1395.9	44841.5
02/09	234	PHO2	0.121	0.235	0.002	A	A11	5773	540909	1208.5	41171.3	818.4000000000001	38624.8
02/09	234	PHO2	0.121	0.235	0.002	A	A12	1826	541004	1894.5	52541.3	1393.4	49397.8
02/09	234	pho2∆	0.167	0.21	0.05	A	B10	5158	296022	1492	3525.3	3373.1	6856.2
02/09	234	pho2∆	0.167	0.21	0.05	A	B11	5035	327028	1968.5	4195.3	3716.7000000000003	7191.4000000000005
02/09	234	pho2∆	0.167	0.21	0.05	A	B12	5038	316577.5	1322	3002.8	2788.3	5363.6
02/09	NA	PHO2	0.082	0.727	0.018	A	D1	5222	379994	67.5	359.3	201.60000000000014	522.3
02/09	NA	PHO2	0.082	0.727	0.018	A	F5	5230	381902	58.5	423.3	171.70000000000005	606.5
02/09	NA	PHO2	0.082	0.727	0.018	A	H9	5168	369349.5	7.5	397.3	146.5	599.6999999999999
02/09	NA	pho2∆	0.117	1.409	0.028	A	B9	5244	373079.5	11.5	649.3	144.70000000000005	963.0999999999999
02/09	NA	pho2∆	0.117	1.409	0.028	A	F1	5182	394352	32.5	607.3	100.10000000000014	845.4
02/09	NA	pho2∆	0.117	1.409	0.028	A	H5	5215	380341	-4.5	514.3	89.40000000000009	738
02/11	220	PHO2	0.344	0.181	0.058	A	E10	5278	375096.5	884.5	1918.8	1372.4	2746
02/11	220	PHO2	0.344	0.181	0.058	A	E11	5084	339640.5	1274.5	3546.3	2415.3	6122.5
02/11	220	PHO2	0.344	0.181	0.058	A	E12	5297	340459	1157.5	3961.3	2149.1	6737.9000000000005
02/11	220	pho2∆	0.3	0.265	0.04	A	F10	5246	385229	921.5	2012.8	1354.5	2859.1000000000004
02/11	220	pho2∆	0.3	0.265	0.04	A	F11	5349	358458	1425.5	3345.3	2523.3	6167
02/11	220	pho2∆	0.3	0.265	0.04	A	F12	5078	383298	929	2101.3	1372.6	2979.8
02/11	227	PHO2	0.086	0.223	0.011	A	G2	5151	362658	2612.5	5094.3	4197.5	7910.8
02/11	227	PHO2	0.086	0.223	0.011	A	G3	5125	355070	1909.5	5379.3	3174.2999999999997	8475.199999999999
02/11	227	PHO2	0.086	0.223	0.011	A	G4	5105	359022	3018.5	6017.3	4882.200000000001	9332
02/11	NA	pho2∆	0.157	0.588	0.011	A	B9	5259	384535	84.5	838.3	190.60000000000014	1198.1
02/11	NA	pho2∆	0.157	0.588	0.011	A	F1	5261	391829	69.5	631.3	158.10000000000014	889.4
02/11	NA	pho2∆	0.157	0.588	0.011	A	H5	5321	384479	19.5	663.3	123.30000000000018	970.5999999999999
02/16	188	PHO2	0.205	0.288	0.053	A	C2	4983	406336	1175.5	20234.3	1567.6	26790.5
02/16	188	PHO2	0.205	0.288	0.053	A	C3	5100	367650.5	661	13445.3	1132.8000000000002	20049.8
02/16	188	PHO2	0.205	0.288	0.053	A	C4	5019	400500	1132.5	18824.3	1578.5	25812.7
02/16	218	pho2∆	0.093	0.207	0.055	A	H6	5110	369383.5	2874.5	9472.8	4825.5	14821.199999999999
02/16	218	pho2∆	0.093	0.207	0.055	A	H7	5140	391740.5	4353.5	11175.8	6281.6	15908.5
02/16	218	pho2∆	0.093	0.207	0.055	A	H8	4865	350719	3525.5	9631.3	6057.1	15665.199999999999
02/16	220	PHO2	0.35	0.283	0.023	A	E10	5392	393899	915	1858.8	1262.9	2538.2000000000003
02/16	220	PHO2	0.35	0.283	0.023	A	E11	5078	382217.5	1626	3741.3	2470.5	5650.4000000000005
02/16	220	PHO2	0.35	0.283	0.023	A	E12	5204	376581.5	1238	2552.3	1933.6	3947.1000000000004
02/16	220	pho2∆	0.332	0.331	0.017	A	F10	5379	388260	730.5	1680.3	1114.3000000000002	2361.1000000000004
02/16	220	pho2∆	0.332	0.331	0.017	A	F11	5242	382867	1254.5	2741.3	1914	4187.9000000000005
02/16	220	pho2∆	0.332	0.331	0.017	A	F12	5188	375009.5	738	1534.8	1138.1	2224.9
02/16	221	PHO2	0.125	0.268	0.035	A	G11	3903	448073	1364.5	36408.3	1543.4	43818
02/16	221	PHO2	0.125	0.268	0.035	A	G12	5098	426439	930	30478.8	1238.7000000000003	40919
02/16	227	PHO2	0.118	0.254	0.011	A	G2	5154	338600	1528.5	4685.3	2940.3	7952.5
02/16	227	PHO2	0.118	0.254	0.011	A	G3	5278	344628.5	1618	5892.8	2867.1	9586.599999999999
02/16	227	PHO2	0.118	0.254	0.011	A	G4	5237	345543	2379.5	5645.3	4026.5000000000005	9034.099999999999
02/16	NA	PHO2	0.082	0.64	0.023	A	D1	5091	380375	131.5	650.3	292.10000000000014	937.3
02/16	NA	PHO2	0.082	0.64	0.023	A	F5	4966	363547	42.5	587.8	241.30000000000018	903.8
02/16	NA	PHO2	0.082	0.64	0.023	A	H9	5159	373906	53.5	554.3	207.5	823.1999999999999
02/16	NA	pho2∆	0.068	0.862	0.037	A	B9	5350	404013.5	142	810.3	206.60000000000014	1090.1
02/16	NA	pho2∆	0.068	0.862	0.037	A	F1	5236	385916.5	47	922.3	150.20000000000005	1294.5
02/16	NA	pho2∆	0.068	0.862	0.037	A	H5	5212	375407	26	836.3	166.9000000000001	1243.7
02/18	230	pho2∆	0.271	0.256	0.02	A	B2	4999	418167	3628.5	11377.3	4860.299999999999	14725.3
02/18	230	pho2∆	0.271	0.256	0.02	A	B3	5097	421681	3358.5	10256.3	4527.9	13485.4
02/18	230	pho2∆	0.271	0.256	0.02	A	B4	5006	405623	2162	6518.8	3112.1	9227
02/18	233	pho2∆	1.296	0.54	0.06	A	H2	4948	413935.5	4710.5	906.3	5864	1173.6
02/18	233	pho2∆	1.296	0.54	0.06	A	H3	5178	407518	4790	955.3	6129.299999999999	1287.8999999999999
02/18	233	pho2∆	1.296	0.54	0.06	A	H4	5102	369971.5	11201	9227.3	17732.2	13920.699999999999
02/18	241	PHO2	0.251	0.076	0.041	A	C6	4285	510109	2503.5	33521.3	2164.2000000000003	33424.5
02/18	241	PHO2	0.251	0.076	0.041	A	C7	1524	471464	2728.5	53325.3	2777	60170.9
02/18	241	PHO2	0.251	0.076	0.041	A	C8	2016	500825.5	2915	37780.3	2596.7000000000003	37697.3
02/18	250	PHO2	0.224	0.209	0.053	A	E6	5173	401309	3446.5	5311.3	4713.6	7170
02/18	250	PHO2	0.224	0.209	0.053	A	E7	5216	364877	2294.5	3481.3	3581.6	5216.8
02/18	250	PHO2	0.224	0.209	0.053	A	E8	5245	368300	2677.5	3938.3	4150.5	5968.8
02/18	252	pho2∆	0.204	0.104	0.007	A	B10	5476	443563	4504.5	5959.8	5600.799999999999	7277
02/18	252	pho2∆	0.204	0.104	0.007	A	B11	5574	445457	4488	5837.8	5484.5	7178
02/18	252	pho2∆	0.204	0.104	0.007	A	B12	3836	439510	5354.5	8254.3	6960.799999999999	10641.5
02/18	NA	PHO2	0.043	1.268	0.013	A	D1	4963	398016	116.5	667.3	182.20000000000005	910.0999999999999
02/18	NA	PHO2	0.043	1.268	0.013	A	F5	5372	395219.5	65.5	633.3	137.80000000000018	864.4
02/18	NA	PHO2	0.043	1.268	0.013	A	H9	5235	388320	-19.5	613.3	54.80000000000018	854.8
02/18	NA	pho2∆	0.25	1.033	0.031	A	B9	5202	387481.5	49	1145.3	151.30000000000018	1633.2
02/18	NA	pho2∆	0.25	1.033	0.031	A	F1	5126	408220	71.5	883.3	95.60000000000014	1163.5
02/18	NA	pho2∆	0.25	1.033	0.031	A	H5	5234	386814.5	-5.5	694.3	64.5	976.5
02/19	233	pho2∆	1.155	0.43	0.094	A	D10	4834	391435.5	4349	1230.8	5846.1	1721.3
02/19	233	pho2∆	1.155	0.43	0.094	A	D11	4993	391237	4712.5	1001.3	6402.299999999999	1380.7
02/19	233	pho2∆	1.155	0.43	0.094	A	D12	5008	331057.5	8998	7807.8	15378.499999999998	13498.3
02/19	240	PHO2	0.254	0.179	0.017	A	A10	5042	353262	1279.5	3837.8	2220.9	5993.8
02/19	240	PHO2	0.254	0.179	0.017	A	A11	5273	346476	1160.5	3038.3	2123.1	4904.8
02/19	240	PHO2	0.254	0.179	0.017	A	A12	5190	358581	1628.5	5046.8	2716.7000000000003	7759.7
02/19	241	PHO2	0.381	0.109	0.015	A	G2	4097	493807	2022.5	23817.3	1827.7000000000003	24288.8
02/19	241	PHO2	0.381	0.109	0.015	A	G3	5285	479488	2440.5	47947.3	2392.2000000000003	51785.5
02/19	241	PHO2	0.381	0.109	0.015	A	G4	5255	483879	2039.5	28708.3	1950.2000000000003	30271.2
02/19	NA	PHO2	0.672	0.998	0.006	A	D1	5375	361949	6.5	474.3	182.30000000000018	718.6999999999999
02/19	NA	PHO2	0.672	0.998	0.006	A	F5	5082	358838.5	56.5	1940.3	274.60000000000014	2919.6000000000004
02/19	NA	PHO2	0.672	0.998	0.006	A	H9	5116	357745.5	16.5	933.8	199	1440.3
02/19	NA	pho2∆	0.704	6.439	0.041	A	B9	5187	378003	23.5	878.3	149.70000000000005	1302.7
02/19	NA	pho2∆	0.704	6.439	0.041	A	F1	5113	358410	-24.5	1168.3	171.80000000000018	1823.5
02/19	NA	pho2∆	0.704	6.439	0.041	A	H5	5189	349084	-10.5	3099.3	213.10000000000014	4846.6
02/20	194	PHO2	0.138	0.296	0.045	A	A1	5260	430221.5	1664.5	30344.8	2125.5	39318
02/20	194	PHO2	0.138	0.296	0.045	A	A5	5187	437788	1685.5	31713.3	2096	40141
02/20	194	PHO2	0.138	0.296	0.045	A	A9	5213	396641	761.5	23150.3	1092.9	32498.8
02/20	194	PHO2	0.138	0.296	0.045	A	C1	5140	435363	1507.5	27290.3	1935	35090.8
02/20	194	PHO2	0.138	0.296	0.045	A	C5	5297	416539	1121.5	24806.3	1543.3000000000002	33193.600000000006
02/20	194	PHO2	0.138	0.296	0.045	A	C9	5453	386129	669.5	20018.3	1034.8000000000002	28926.3
02/20	194	PHO2	0.138	0.296	0.045	A	E1	5167	413917	1541.5	23111.3	2086.3	31431.3
02/20	194	PHO2	0.138	0.296	0.045	A	E5	5324	425076.5	1407.5	26063.8	1846.3000000000002	33952.8
02/20	194	PHO2	0.138	0.296	0.045	A	E9	5228	390401	893	22546.3	1319.7000000000003	31876.2
02/20	194	PHO2	0.138	0.296	0.045	A	G1	5154	413178	1339.5	23173.3	1796.4	31209.7
02/20	194	PHO2	0.138	0.296	0.045	A	G5	5229	410616	1247.5	24715.3	1705.6	33622
02/20	194	PHO2	0.138	0.296	0.045	A	G9	5293	386221	826.5	22174.3	1322.8000000000002	31425.6
02/20	265	pho2∆	0.105	0.233	0.021	A	B6	5125	388906	1975.5	5726.3	3109.4	8773.099999999999
02/20	265	pho2∆	0.105	0.233	0.021	A	B7	5250	394810.5	2583.5	5338.3	3915.0000000000005	8576.9
02/20	265	pho2∆	0.105	0.233	0.021	A	B8	5107	378636	1634.5	4643.3	2614.7000000000003	7615.6
02/20	NA	PHO2	0.024	2.891	0.017	A	D1	5138	379838	13.5	441.3	134	642.3
02/20	NA	PHO2	0.024	2.891	0.017	A	F5	5203	380265	8.5	461.3	127.70000000000005	664.1999999999999
02/20	NA	PHO2	0.024	2.891	0.017	A	H9	5035	368817	-71.5	459.3	43.700000000000045	693.8
02/20	NA	pho2∆	0.024	0.685	0.04	A	B9	5282	363652.5	-75.5	634.8	49.100000000000136	972.3
02/20	NA	pho2∆	0.024	0.685	0.04	A	F1	5174	393623	-17.5	611.8	47.90000000000009	858
02/20	NA	pho2∆	0.024	0.685	0.04	A	H5	5220	383565.5	-36.5	606.3	53.80000000000018	873.3
