date	plasmid	host	CV_YL2.H	CV_BL1.H	CV_FSC.H	plate	well	events	FSC.H	BL1.H	YL2.H	nGFP	nRFP
12/28	194	PHO2	0.168	0.241	0.038	A	A1	7974	385926.5	1204.5	18891.8	1810.3000000000002	27309.1
12/28	194	PHO2	0.168	0.241	0.038	A	A5	7788	412202.5	1296.5	19728.8	1726.6	26507.2
12/28	194	PHO2	0.168	0.241	0.038	A	A9	7688	422525.5	1361.5	21947.8	1724.3000000000002	28741.1
12/28	194	PHO2	0.168	0.241	0.038	A	C1	8084	415509.5	1126.5	18084.3	1473.6	23917.1
12/28	194	PHO2	0.168	0.241	0.038	A	C5	8082	413937	1193.5	18510.8	1562.6	24754.7
12/28	194	PHO2	0.168	0.241	0.038	A	C9	7901	418147	1109.5	18665.3	1436.2000000000003	24645.6
12/28	194	PHO2	0.168	0.241	0.038	A	E1	7658	413465.5	1121.5	18586.8	1477.1	24979.5
12/28	194	PHO2	0.168	0.241	0.038	A	E5	7694	428114.5	1285.5	18870.3	1603.7000000000003	24106.3
12/28	194	PHO2	0.168	0.241	0.038	A	E9	6276	434383	1405.5	22574.3	1678.2000000000003	27981.2
12/28	194	PHO2	0.168	0.241	0.038	A	G1	7815	424547	1222.5	18772.3	1590.7000000000003	24747
12/28	194	PHO2	0.168	0.241	0.038	A	G5	7990	411046	833.5	12949.3	1157.7000000000003	17610.3
12/28	194	PHO2	0.168	0.241	0.038	A	G9	8124	431033	1159	18998.8	1443.1	24431.5
12/28	411	PHO2	0.104	0.218	0.025	A	C10	7824	367501	722.5	3030.8	1215.9	4472.2
12/28	411	PHO2	0.104	0.218	0.025	A	C11	7933	352472	484.5	2486.3	959.0999999999999	3791.6000000000004
12/28	411	PHO2	0.104	0.218	0.025	A	C12	7882	368602.5	734.5	2951.3	1229.3000000000002	4369.9000000000005
12/28	416	pho2∆	0.093	0.368	0.071	B	B6	7928	333545	459.5	630.3	1023	1063
12/28	416	pho2∆	0.093	0.368	0.071	B	B7	7854	376542	963.5	755.3	1397.6	1051
12/28	416	pho2∆	0.093	0.368	0.071	B	B8	7826	379701.5	975.5	727.3	1397.1	1017.8999999999999
12/28	419	pho2∆	0.151	0.22	0.012	B	H6	7533	340782	6303.5	6023.3	10435.8	9836.699999999999
12/28	419	pho2∆	0.151	0.22	0.012	B	H7	7224	338689	6299	5607.8	10667.1	9423.9
12/28	419	pho2∆	0.151	0.22	0.012	B	H8	7600	333090	4169	4458.3	7476.5	7821
12/28	420	PHO2	0.218	0.159	0.002	B	E2	8203	468618	1617.5	33253.3	1707.4	37835.700000000004
12/28	420	PHO2	0.218	0.159	0.002	B	E3	2105	467027	2028.5	45374.3	2148.3	52077.200000000004
12/28	421	PHO2	0.125	0.208	0.007	B	G2	7090	474157	1811.5	29019.3	1733	31395.2
12/28	421	PHO2	0.125	0.208	0.007	B	G3	8437	467129	1277.5	23661.3	1226.3000000000002	26136.5
12/28	421	PHO2	0.125	0.208	0.007	B	G4	8517	470365	1933.5	30067.3	1863.2000000000003	32271.3
12/28	421	pho2∆	0.386	0.409	0.012	B	H2	7538	311050	9476.5	5414.3	17809.4	10086.8
12/28	421	pho2∆	0.386	0.409	0.012	B	H3	7553	315749	5595.5	2954.3	11065.8	5690.6
12/28	421	pho2∆	0.386	0.409	0.012	B	H4	7707	308601	4394.5	2868.3	8788.4	5388.4000000000005
12/28	422	PHO2	0.241	0.134	0.084	B	A10	2153	455150	2966.5	39050.3	3854.7000000000003	49328.600000000006
12/28	422	PHO2	0.241	0.134	0.084	B	A11	2983	404074	2451.5	27672.3	3591.1	41371.600000000006
12/28	423	PHO2	1.645	0.577	0.121	B	C10	8040	382169	1887	509.3	2725.6	733.6999999999999
12/28	423	PHO2	1.645	0.577	0.121	B	C11	8241	371740	984.5	758.3	1494.3000000000002	1101.8999999999999
12/28	423	PHO2	1.645	0.577	0.121	B	C12	2129	461502	3358.5	36473.3	4051.7000000000003	43977.8
12/28	424	pho2∆	0.231	0.272	0.029	B	F10	7735	322624	2442.5	4280.3	4737.299999999999	7685
12/28	424	pho2∆	0.231	0.272	0.029	B	F11	7490	341999.5	4302	6862.8	7198.1	11090.699999999999
12/28	424	pho2∆	0.231	0.272	0.029	B	F12	7570	331560	3627.5	5651.3	6335.5	9539.3
12/28	NA	PHO2	0.177	0.266	0.02	B	D1	7760	360178.5	-117.5	398.3	-10.399999999999864	610.6999999999999
12/28	NA	PHO2	0.177	0.266	0.02	B	F5	8069	345671	-141.5	341.3	-4.199999999999818	545.3
12/28	NA	PHO2	0.177	0.266	0.02	B	H9	8037	363552	-100.5	349.3	8.400000000000091	534.5
12/28	NA	PHO2	0.177	0.266	0.02	A	D1	7804	357746.5	-58.5	350.3	86.40000000000009	540.5
12/28	NA	PHO2	0.177	0.266	0.02	A	F5	7760	357131.5	-128.5	225.3	-20.09999999999991	357.1
12/28	NA	PHO2	0.177	0.266	0.02	A	H9	7850	366975.5	-131	310.3	-45.69999999999982	474.90000000000003
12/28	NA	pho2∆	0.164	0.271	0.021	B	B9	7961	372067	-94.5	504.3	1.7000000000000455	759.9
12/28	NA	pho2∆	0.164	0.271	0.021	B	F1	7932	355593	-134.5	512.3	-28.799999999999955	792.1999999999999
12/28	NA	pho2∆	0.164	0.271	0.021	B	H5	7891	354105	-165.5	608.3	-62.19999999999982	953.3999999999999
12/28	NA	pho2∆	0.164	0.271	0.021	A	B9	7703	364939	-75.5	640.3	40.700000000000045	965.0999999999999
12/28	NA	pho2∆	0.164	0.271	0.021	A	F1	7831	363038	-120.5	426.3	-20.699999999999818	658.6999999999999
12/28	NA	pho2∆	0.164	0.271	0.021	A	H5	8032	371944	-145.5	445.3	-82.19999999999993	664.5
12/29	188	PHO2	0.153	0.265	0.015	B	G10	8527	392015	600.5	9819.3	919.5	13837.699999999999
12/29	188	PHO2	0.153	0.265	0.015	B	G11	8723	387359	437.5	8459.3	696	11859.5
12/29	188	PHO2	0.153	0.265	0.015	B	G12	8627	385962	489.5	8136.3	783.1000000000001	11595
12/29	188	PHO2	0.153	0.265	0.015	A	G10	7861	397928	800.5	10628.3	1131.7000000000003	14510.099999999999
12/29	188	PHO2	0.153	0.265	0.015	A	G11	7767	400089	874.5	12220.3	1238.7000000000003	16486.1
12/29	188	PHO2	0.153	0.265	0.015	A	G12	7690	398481	696.5	10624.3	977.5999999999999	14403.699999999999
12/29	415	PHO2	0.241	0.349	0.021	A	C10	8241	373710	1016.5	561.3	1617.4	839.5999999999999
12/29	415	PHO2	0.241	0.349	0.021	A	C11	8307	376105	1490.5	783.3	2498.9	1211.1
12/29	415	PHO2	0.241	0.349	0.021	A	C12	7985	361300	742.5	501.3	1327.9	767.1999999999999
12/29	417	PHO2	0.243	0.262	0.026	B	C2	8588	377240.5	882.5	5011.3	1414.2000000000003	7254.9000000000005
12/29	417	PHO2	0.243	0.262	0.026	B	C3	8495	378092	1024.5	5498.3	1593.2000000000003	7971.5
12/29	417	PHO2	0.243	0.262	0.026	B	C4	8570	360970.5	595.5	3353.8	1055.8000000000002	4974.4000000000005
12/29	417	pho2∆	0.305	0.259	0.042	B	D2	8393	356099	2523.5	4969.3	4151	7699.5
12/29	417	pho2∆	0.305	0.259	0.042	B	D3	5686	373167.5	3228.5	6472.8	5056.4	9828.5
12/29	417	pho2∆	0.305	0.259	0.042	B	D4	8579	343466	1907.5	3444.3	3404.7000000000003	5644.7
12/29	418	pho2∆	0.261	0.272	0.038	B	F2	8438	344296	2002.5	3469.8	3580.0000000000005	5670.2
12/29	418	pho2∆	0.261	0.272	0.038	B	F3	7942	370557	3297	5676.8	5078.1	8588.199999999999
12/29	418	pho2∆	0.261	0.272	0.038	B	F4	8560	352564	2263	4027.8	3863.0000000000005	6357.6
12/29	419	pho2∆	0.235	0.248	0.014	B	H2	6850	359586.5	7634.5	6717.8	12084.1	10323.699999999999
12/29	419	pho2∆	0.235	0.248	0.014	B	H3	8286	352863.5	6433	5347.8	10214.5	8438.599999999999
12/29	419	pho2∆	0.235	0.248	0.014	B	H4	8390	350046.5	4572	4173.8	7536.9	6772.3
12/29	421	pho2∆	0.142	0.27	0.027	B	D6	8342	364079.5	14322.5	5294.3	23289.600000000002	8256.699999999999
12/29	421	pho2∆	0.142	0.27	0.027	B	D7	8491	365230	11176.5	4245.3	18463.2	6721.8
12/29	421	pho2∆	0.142	0.27	0.027	B	D8	8627	347997	8254.5	4113.3	13950.4	6770.7
12/29	422	PHO2	0.147	0.277	0.091	B	E6	1242	324683.5	1728	26605.3	3606.4	48465.8
12/29	422	PHO2	0.147	0.277	0.091	B	E7	1927	369155	2570.5	32770.3	4044.1	50029.100000000006
12/29	423	PHO2	1.702	0.528	0.114	B	G6	8822	387864.5	1588.5	220.3	2252.5	308.40000000000003
12/29	423	PHO2	1.702	0.528	0.114	B	G7	8813	378561	1023.5	191.3	1515.5	279.5
12/29	423	PHO2	1.702	0.528	0.114	B	G8	1532	463768	2918.5	34653.8	3688.5000000000005	42317.4
12/29	423	pho2∆	0.167	0.278	0.027	B	H6	8341	376216	2454.5	6938.3	3658.9	9996.5
12/29	423	pho2∆	0.167	0.278	0.027	B	H7	8543	357156	1396.5	4946.3	2398.1	7656
12/29	423	pho2∆	0.167	0.278	0.027	B	H8	8443	370666	1872.5	6050.3	2966.7000000000003	9046.3
12/29	424	pho2∆	0.186	0.209	0.011	B	B10	8553	332297	2674.5	4647.3	4919.299999999999	7817.8
12/29	424	pho2∆	0.186	0.209	0.011	B	B11	8325	334865	4049.5	6735.3	6821.200000000001	10999.4
12/29	424	pho2∆	0.186	0.209	0.011	B	B12	8282	327556	3210	5527.8	5648.5	9444.8
12/29	NA	PHO2	0.213	0.322	0.016	B	D1	8820	351435.5	-178.5	328.3	-56.399999999999864	535.4
12/29	NA	PHO2	0.213	0.322	0.016	B	F5	8661	364769	-142.5	238.3	-56.399999999999864	366.90000000000003
12/29	NA	PHO2	0.213	0.322	0.016	B	H9	8888	354798	-158.5	248.3	-54.899999999999864	388.90000000000003
12/29	NA	PHO2	0.213	0.322	0.016	A	D1	8096	353872.5	-119.5	414.3	11	654.4
12/29	NA	PHO2	0.213	0.322	0.016	A	F5	7829	348384	-122.5	284.3	24.40000000000009	465.09999999999997
12/29	NA	PHO2	0.213	0.322	0.016	A	H9	8127	357701	-57.5	297.3	73.10000000000014	457.7
12/29	NA	pho2∆	0.124	0.315	0.046	B	B9	8538	366584.5	-133.5	530.3	-40.09999999999991	811.0999999999999
12/29	NA	pho2∆	0.124	0.315	0.046	B	F1	8475	376145	-115.5	372.3	-49.899999999999864	550.9
12/29	NA	pho2∆	0.124	0.315	0.046	B	H5	8616	368994	-167.5	429.3	-109.79999999999995	648.4
12/29	NA	pho2∆	0.124	0.315	0.046	A	B9	8132	376576	-95.5	466.8	-16.5	692.8
12/29	NA	pho2∆	0.124	0.315	0.046	A	F1	7843	332504	-185.5	490.3	-21.399999999999864	837.4
12/29	NA	pho2∆	0.124	0.315	0.046	A	H5	7869	375850	-80.5	419.3	-15.299999999999955	619.5999999999999
