Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
20241119 Y1H,Experiment,Group,,346-696-1,Experiment,None,N/A,All Events,N/A,N/A,40108,21,1909.905,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241119 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R2,FSC - FSC-H,SSC - SSC-H,33267,21,1584.143,82.944,79.000,341053,95685,303108,77432,228397,56316,148459.31,53296.79,43.53,55.70,143646.15,41419.40,47.39,53.49
20241119 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,8100,21,385.714,20.195,77.283,5855,N/A,4575,N/A,3490,N/A,4035.73,N/A,68.92,N/A,3100.86,N/A,67.79,N/A
20241119 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R1,PHO5pr-mCherry - YL2-H,,10000,21,476.190,24.933,24.933,5923,N/A,4039,N/A,3490,N/A,6354.81,N/A,107.29,N/A,3550.83,N/A,87.92,N/A
20241119 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R1,FSC - FSC-H,FSC - FSC-W,10000,21,476.190,24.933,28.631,271656,87,251694,86,228424,85,99211.09,7.47,36.52,8.59,90787.01,7.41,36.07,8.62
20241119 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R2,FSC - FSC-H,FSC - FSC-W,33267,21,1584.143,82.944,82.944,341053,105,303108,100,228397,96,148459.31,26.39,43.53,25.04,143646.15,14.83,47.39,14.83
20241119 Y1H,Experiment,Group,,346-696-1,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,8100,21,385.714,20.195,20.195,5855,N/A,4575,N/A,3490,N/A,4035.73,N/A,68.92,N/A,3100.86,N/A,67.79,N/A
20241119 Y1H,Experiment,Group,,351-696-1,Experiment,None,N/A,All Events,N/A,N/A,36573,21,1741.571,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20241119 Y1H,Experiment,Group,,351-696-1,Experiment,None,,R2,FSC - FSC-H,SSC - SSC-H,31831,21,1515.762,87.034,80.714,363617,108664,356701,99346,203799,48130,148450.85,54517.17,40.83,50.17,187895.83,61929.68,52.68,62.34
20241119 Y1H,Experiment,Group,,351-696-1,Experiment,None,,R3,PHO5pr-mCherry - YL2-H,,6047,21,287.952,16.534,56.886,2992,N/A,2347,N/A,1570,N/A,2065.65,N/A,69.05,N/A,1220.18,N/A,51.99,N/A
20241119 Y1H,Experiment,Group,,351-696-1,Experiment,None,,R1,PHO5pr-mCherry - YL2-H,,10000,21,476.190,27.343,27.343,2027,N/A,1481,N/A,1570,N/A,2023.82,N/A,99.86,N/A,1350.65,N/A,91.20,N/A
20241119 Y1H,Experiment,Group,,351-696-1,Experiment,None,,R1,FSC - FSC-H,FSC - FSC-W,10000,21,476.190,27.343,29.173,286621,88,255786,87,203746,83,113934.46,8.30,39.75,9.41,111405.53,8.90,43.55,10.22
20241119 Y1H,Experiment,Group,,351-696-1,Experiment,None,,R2,FSC - FSC-H,FSC - FSC-W,31831,21,1515.762,87.034,87.034,363617,107,356701,102,203799,96,148450.85,25.85,40.83,24.15,187895.83,17.79,52.68,17.44
