Pair_No	Area	Mean	IntDen	Median	RawIntDen	Group	Locus
10	8.217	703.325	5779.546	648	1367968	F8	wc
1	11.986	481.162	5767.251	520	1365058	F8	cytoplasm
2	10.334	1049.078	10841.321	893	2566046	F8	cytoplasm
3	13.761	543.451	7478.185	587	1770021	F8	cytoplasm
4	9.675	892.545	8635.422	779	2043929	F8	cytoplasm
5	11.927	771.387	9200.28	833	2177626	F8	cytoplasm
6	12.307	921.625	11342.599	882	2684694	F8	cytoplasm
7	16.228	581.383	9434.628	569	2233094	F8	cytoplasm
8	15.37	625.846	9619.396	632	2276827	F8	cytoplasm
9	16.46	663.985	10929.373	717	2586887	F8	cytoplasm
10	8.217	540.178	4438.892	595	1050647	F8	cytoplasm
1	2.227	1119.463	2492.517	1162	589957	H8	nuclei
2	1.69	1751.615	2960.168	1812	700646	H8	nuclei
3	1.124	2167.602	2436.009	2170	576582	H8	nuclei
4	1.213	1593.652	1932.382	1613	457378	H8	nuclei
5	1.124	1473.44	1655.891	1501	391935	H8	nuclei
6	0.828	6825.464	5652.051	6983	1337791	H8	nuclei
7	1.445	1876.409	2711.262	1938	641732	H8	nuclei
8	0.684	2389.685	1635.586	2485	387129	H8	nuclei
9	2.252	1369.336	3083.578	1482	729856	H8	nuclei
10	1.487	3698.875	5500.854	3841	1302004	H8	nuclei
1	14.082	725.053	10209.937	639	2416603	H8	wc
2	12.962	800.543	10376.665	576	2456066	H8	wc
3	11.669	897.507	10473.196	632	2478914	H8	wc
4	12.924	784.983	10145.127	635	2401263	H8	wc
5	18.763	717.688	13465.871	582	3187254	H8	wc
6	10.507	2201.239	23129.21	1362	5474482	H8	wc
7	17.529	850.001	14899.815	709	3526656	H8	wc
8	5.746	1147.044	6590.78	892	1559980	H8	wc
9	28.86	607.423	17530.448	511	4149304	H8	wc
10	7.406	1845.784	13670.378	1304	3235659	H8	wc
1	14.082	548.049	7717.42	605	1826646	H8	cytoplasm
2	12.962	572.171	7416.497	541	1755420	H8	cytoplasm
3	11.669	688.752	8037.187	598	1902332	H8	cytoplasm
4	12.924	635.464	8212.745	600	1943885	H8	cytoplasm
5	18.763	629.435	11809.98	563	2795319	H8	cytoplasm
6	10.507	1663.326	17477.16	1187	4136691	H8	cytoplasm
7	17.529	695.33	12188.553	674	2884924	H8	cytoplasm
8	5.746	862.39	4955.193	812	1172851	H8	cytoplasm
9	28.86	500.578	14446.87	488	3419448	H8	cytoplasm
10	7.406	1103.055	8169.524	1080	1933655	H8	cytoplasm
