Pair_No	Area	Mean	IntDen	Median	RawIntDen	Group	Locus
4	11.2	520.689	5831.842	444	1380346	C3	wc
5	14.039	409.341	5746.896	337	1360240	C3	wc
6	10.52	398.21	4189.179	322	991542	C3	wc
7	21.496	361.98	7781.255	298	1841755	C3	wc
8	8.424	360.854	3040.002	284	719542	C3	wc
9	9.675	466.64	4514.763	348	1068605	C3	wc
10	13.414	507.21	6803.766	344	1610392	C3	wc
1	13.22	348.615	4608.607	329	1090817	C3	cytoplasm
2	7.85	381.686	2996.19	395	709172	C3	cytoplasm
3	11.086	331.731	3677.626	332	870462	C3	cytoplasm
4	11.2	478.279	5356.839	431	1267917	C3	cytoplasm
5	14.039	349.134	4901.622	325	1160171	C3	cytoplasm
6	10.52	335.506	3529.539	305	835411	C3	cytoplasm
7	21.496	312.113	6709.297	290	1588032	C3	cytoplasm
8	8.424	272.564	2296.206	268	543492	C3	cytoplasm
9	9.675	397.292	3843.822	335	909799	C3	cytoplasm
10	13.414	390.307	5235.618	323	1239225	C3	cytoplasm
1	1.466	2291.778	3359.849	2285	795247	E9	nuclei
2	1.483	1077.359	1597.664	1091	378153	E9	nuclei
3	1.445	763.64	1103.399	765	261165	E9	nuclei
4	0.76	2509.178	1908.19	2630	451652	E9	nuclei
5	1.027	955.638	981.109	971	232220	E9	nuclei
6	0.904	1038.037	938.522	1064	222140	E9	nuclei
7	0.989	1218.483	1204.628	1233	285125	E9	nuclei
8	1.187	1665.196	1976.921	1730	467920	E9	nuclei
9	0.938	667.541	626.107	665	148194	E9	nuclei
10	0.621	1502.571	933.19	1570	220878	E9	nuclei
1	13.351	902.977	12055.401	731	2853408	E9	wc
2	17.187	616.168	10590.044	553	2506571	E9	wc
3	14.568	490.97	7152.212	470	1692866	E9	wc
4	13.655	928.33	12676.277	754	3000364	E9	wc
5	9.012	674.613	6079.434	671	1438949	E9	wc
6	13.101	459.294	6017.421	397	1424271	E9	wc
7	14.365	551.529	7922.548	496	1875198	E9	wc
8	14.466	663.69	9601.009	554	2272475	E9	wc
9	14.58	395.806	5770.927	390	1365928	E9	wc
10	8.281	637.631	5280.11	510	1249756	E9	wc
1	13.351	651.317	8695.551	649	2058161	E9	cytoplasm
2	17.187	523.21	8992.381	506	2128418	E9	cytoplasm
3	14.568	415.227	6048.812	428	1431701	E9	cytoplasm
4	13.655	788.587	10768.086	693	2548712	E9	cytoplasm
5	9.012	565.743	5098.325	594	1206729	E9	cytoplasm
6	13.101	387.659	5078.899	366	1202131	E9	cytoplasm
7	14.365	467.669	6717.92	441	1590073	E9	cytoplasm
8	14.466	527.031	7624.088	483	1804555	E9	cytoplasm
9	14.58	352.864	5144.82	368	1217734	E9	cytoplasm
10	8.281	524.938	4346.92	471	1028878	E9	cytoplasm
1	0.913	2087.116	1904.663	2131	450817	G9	nuclei
2	1.453	790.733	1149.227	806	272012	G9	nuclei
3	0.473	1456.438	689.172	1488	163121	G9	nuclei
4	1.187	1886.722	2239.918	1963	530169	G9	nuclei
5	1.546	1936.276	2994.099	1949	708677	G9	nuclei
6	1.048	992.286	1039.696	999	246087	G9	nuclei
7	1.618	1373.023	2221.747	1364	525868	G9	nuclei
8	1.96	1234.252	2419.578	1282	572693	G9	nuclei
9	1.103	1399.651	1543.399	1412	365309	G9	nuclei
10	2.332	824.726	1923.387	836	455249	G9	nuclei
1	11.864	810.914	9620.321	629	2277046	G9	wc
2	14.922	438.176	6538.64	382	1547639	G9	wc
3	7.998	641.147	5127.739	526	1213691	G9	wc
4	17.276	691.519	11946.453	546	2827621	G9	wc
5	18.792	609.04	11445.332	448	2709010	G9	wc
6	13.79	426.138	5876.495	340	1390915	G9	wc
7	12.463	655.715	8172.503	528	1934360	G9	wc
8	18.526	585.184	10841.258	475	2566031	G9	wc
9	12.734	624.493	7952.228	497	1882223	G9	wc
10	11.749	510.61	5999.406	432	1420007	G9	wc
1	11.864	650.366	7715.659	555	1826229	G9	cytoplasm
2	14.922	361.163	5389.413	362	1275627	G9	cytoplasm
3	7.998	554.976	4438.567	492	1050570	G9	cytoplasm
4	17.276	561.862	9706.535	512	2297452	G9	cytoplasm
5	18.792	449.715	8451.233	424	2000333	G9	cytoplasm
6	13.79	350.744	4836.799	327	1144828	G9	cytoplasm
7	12.463	477.455	5950.756	485	1408492	G9	cytoplasm
8	18.526	454.581	8421.68	442	1993338	G9	cytoplasm
9	12.734	503.289	6408.83	457	1516914	G9	cytoplasm
10	11.749	346.91	4076.019	374	964758	G9	cytoplasm
