Pair_No	Area	Mean	IntDen	Median	RawIntDen	Group	Locus
1	2.7	893.332	2411.745	893	570839	Cg	nuclei
2	1.238	654.075	809.679	651	191644	Cg	nuclei
3	0.896	1183.415	1059.963	1181	250884	Cg	nuclei
4	0.976	998.177	974.176	1008	230579	Cg	nuclei
5	0.824	954.81	786.628	965	186188	Cg	nuclei
6	0.997	700.657	698.61	703	165355	Cg	nuclei
7	1.153	815.996	941.171	832	222767	Cg	nuclei
8	1.031	1123.357	1158.044	1170	274099	Cg	nuclei
9	1.103	670.467	739.326	677	174992	Cg	nuclei
10	1.893	453.373	858.126	453	203111	Cg	nuclei
1	28.679	599.215	17184.715	586	4067472	Cg	wc
2	11.086	488.257	5412.904	474	1281187	Cg	wc
3	9.679	608.408	5888.946	532	1393862	Cg	wc
4	8.72	534.798	4663.556	479	1103823	Cg	wc
5	10	506.987	5070.06	440	1200039	Cg	wc
6	17.457	438.979	7663.409	411	1813862	Cg	wc
7	10.25	505.109	5177.187	446	1225395	Cg	wc
8	9.324	531.344	4954.458	450	1172677	Cg	wc
9	16.629	459.614	7643.037	443	1809040	Cg	wc
10	24.458	406.444	9940.815	404	2352904	Cg	wc
1	28.679	515.12	14772.97	537	3496633	Cg	cytoplasm
2	11.086	415.222	4603.224	448	1089543	Cg	cytoplasm
3	9.679	498.899	4828.983	495	1142978	Cg	cytoplasm
4	8.72	423.083	3689.38	454	873244	Cg	cytoplasm
5	10	428.327	4283.432	420	1013851	Cg	cytoplasm
6	17.457	398.961	6964.799	398	1648507	Cg	cytoplasm
7	10.25	413.284	4236.016	422	1002628	Cg	cytoplasm
8	9.324	407.149	3796.414	420	898578	Cg	cytoplasm
9	16.629	415.154	6903.711	426	1634048	Cg	cytoplasm
10	24.458	371.358	9082.688	392	2149793	Cg	cytoplasm
1	1.255	904.192	1134.579	861	268545	Sc	nuclei
2	1.039	891.305	926.359	906	219261	Sc	nuclei
3	1.251	1717.24	2147.536	1742	508303	Sc	nuclei
4	1.627	1905.416	3099.333	1936	733585	Sc	nuclei
5	1.128	945.142	1066.169	934	252353	Sc	nuclei
6	1.014	3522.542	3571.784	3538	845410	Sc	nuclei
7	2.032	1647.617	3348.26	1694	792504	Sc	nuclei
8	2.235	2109.444	4714.564	2079	1115896	Sc	nuclei
9	0.697	846.885	590.372	853	139736	Sc	nuclei
10	2.472	1093.957	2703.796	1111	639965	Sc	nuclei
1	11.395	759.557	8654.844	733	2048526	Sc	wc
2	5.459	634.776	3464.982	601	820131	Sc	wc
3	7.702	910.351	7011.539	701	1659570	Sc	wc
4	9.485	931.259	8832.928	698	2090677	Sc	wc
5	11.014	591.141	6511.035	538	1541105	Sc	wc
6	10.174	1137.513	11572.594	743	2739132	Sc	wc
7	17.005	741.207	12604.424	581	2983357	Sc	wc
8	15.282	959.615	14664.369	752	3470928	Sc	wc
9	9.578	602.296	5768.722	571	1365406	Sc	wc
10	15.776	703.236	11094.136	624	2625885	Sc	wc
1	11.395	659.986	7520.265	683	1779981	Sc	cytoplasm
2	5.459	465.07	2538.623	539	600870	Sc	cytoplasm
3	7.702	631.523	4864.003	615	1151267	Sc	cytoplasm
