plasmid	set	symbol	group	A_PHO2	A_pho2	s_PHO2	s_pho2	boost
188	R	CCCCC	ref	15.98832483493056	16.064524640037522	1.064099106851021	20.816170729496367	0.9952566411509589
194	R	SSSSS	ref	15.025221553135841	0.77173294016436	1	1	19.46945733576675
216	Sc45	SCCCS	n.f.	1.6548901415303687	2.1549615752137354	0.11014081460815363	2.792366974454637	0.76794415295606
224	Sc45	SCSCS	n.f.	0.6461236073415351	0.7531779922107369	0.04300260099703393	0.9759567759934268	0.8578631001219585
229	Sc45	SSSCS	n.f.	0.5192060635797456	0.5444833019446493	0.03455563445394818	0.7055333180785155	0.9535757326723799
235	Sc45	SSCCS	n.f.	0.9116218682582327	1.0164261568280817	0.06067277377803274	1.3170698099417761	0.8968894219557402
240	Sc45	CCSCS	n.f.	1.5480167888329817	1.8177646104433443	0.10302788437152213	2.3554321914213037	0.8516046466849344
250	Sc45	CSSCS	n.f.	0.8431458021733644	0.8734892073607619	0.056115365699708805	1.1318542489254513	0.9652618430408778
253	Sc45	CSCCS	n.f.	1.9338249468848883	2.621889622701993	0.12870525336654945	3.3974053539085625	0.7375691677256732
278	Sc45	SSSscS	n.f.	1.3745259362518614	0.7003849958231895	0.09148124248224418	0.9075484009714874	1.9625291010643768
435	Sc45	CSSCW	chimera	11.762298387845627	0.7176314475666054	0.7828369349662451	0.9298960951618414	16.39044446523358
436	Sc45	CCSCW	chimera	23.897161485164872	1.3147181360495508	1.5904698243985236	1.7035920946558902	18.176642452785185
437	Sc45	SCSCW	chimera	12.124452938327456	0.808551298732137	0.806940043809006	1.047708678289585	14.995279776730822
438	Sc45	SSSCW	chimera	8.967090519847739	0.4705253401431525	0.5968025488433654	0.6096996974665125	19.05761444669397
439	Sc45	SSSscW	chimera	10.355741248683488	0.5252450609230487	0.6892238634925281	0.6806046931354057	19.716018329586277
440	Sc45	CSCCW	chimera	20.425075788360278	2.6464078425884323	1.3593859974795153	3.4291756964848656	7.718037809464266
441	Sc45	SCCCW	chimera	33.61412306989464	1.8188264426745602	2.237179861276601	2.356808097743236	18.48121529422319
442	Sc45	SSCCW	chimera	10.21914163598773	1.120593053750489	0.680132509184528	1.4520477168070995	9.119404766775506
443	Cg4ext	CSSYS	n.f.	0.5436087052850954	0.6135319851651722	0.03617974639260088	0.7950055689400857	0.8860315654753479
444	Cg4ext	CSCYS	n.f.	1.0441152427064273	1.1998980807584132	0.06949083838890316	1.5548099845302243	0.8701699414724282
445	Cg4ext	CCSYS	n.f.	0.5368648650481394	0.63392215858197	0.035730911730622227	0.8214268506498638	0.8468939881342221
