well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	21241	21157	8665	8048	407856.5	2161	21466.5	2894.7	29143.3
A2	440-555-1	440-555-1	26787	26629	8692	8050	407872	1312.5	16066.5	1728.8	21669.4
A3	440-555-2	440-555-2	34570	31673	7926	7132	390413	1397	16229.5	1905.3	22698.7
A4	440-555-3	440-555-3	38270	35682	8814	7949	399298	1458	17412	1951.4	23990.6
A5	194-555-5	194-555-5	32934	30748	8493	7803	396846	1973	20075	2674.8	28121
A6	445-555-1	445-555-1	27882	27727	8636	8298	365731	2043.5	1363	3129.2	2041.6
A7	445-555-2	445-555-2	25790	25599	8350	7934	366487.5	1708	961	2484.7	1397.2
A8	445-555-3	445-555-3	25456	25236	8435	8088	361076.5	2224	1409	3539.6	2158
A9	194-555-9	194-555-9	31853	30400	8431	7642	379341	1770	19430	2527.9	28302
A10	442-555-1	442-555-1	29988	29360	8661	7957	378035	1338	13048	1902	18280.7
A11	442-555-2	442-555-2	34887	32168	8240	7378	385777.5	1409	12105	1953.8	16707.8
A12	442-555-3	442-555-3	27568	26726	8421	7632	371815	1311	11503	1888.8	16612.4
B1	NA-blank-1	NA-blank-1	309	98	25	24	215672.5	2142.5	1563.5	7033.7	6095.6
B2	440-373-1	440-373-1	33562	32738	8437	7985	389999	2010	4758	2865.4	6835.6
B3	440-373-2	440-373-2	28777	28353	8227	7785	375557	1998	4300	2912.8	6250.9
B4	440-373-3	440-373-3	34931	33841	7991	7547	406115	2559	5120	3618.8	7690.9
B5	NA-156-2	NA-156-2	31440	30891	8448	7919	391109	706	76	958.8	101.4
B6	445-373-1	445-373-1	26782	26200	8369	7896	359885.5	1383	769	2022.8	1135.5
B7	445-373-2	445-373-2	29766	28785	8403	7918	370125	1807	1124	2591.1	1644.7
B8	445-373-3	445-373-3	28781	28035	8512	8171	370386	1994	1378	3059.1	2081
B9	NA-373-3	NA-373-3	25785	25028	8222	7657	346132	654	689	1041.7	1103.2
B10	442-373-1	442-373-1	48131	41510	9185	8464	453536	1725	2008	1891.7	2188.3
B11	442-373-2	442-373-2	31730	30885	8084	7722	364244.5	2196.5	2713.5	3585.6	4654.3
B12	442-373-3	442-373-3	28336	27671	8429	8072	350169	1835	2098.5	3101.2	3764.1
C1	194-555-2	194-555-2	31509	30403	8564	7870	394515.5	1858	18951	2542.9	26564.4
C2	253-555-1	253-555-1	34270	32489	9134	8712	432148.5	1871	1882	2192.8	2268.8
C3	253-555-2	253-555-2	27674	27380	8299	7932	340062.5	1717	2605.5	2747.4	4080.2
C4	253-555-3	253-555-3	25999	25751	8288	7902	332061.5	1608	2545	2677.3	4106
C5	194-555-6	194-555-6	26020	25586	8499	7762	392257	1886	19419.5	2586.4	27686.2
C9	194-555-10	194-555-10	25015	24765	8559	7822	388883	1705	18898	2377	26867.7
C10	235-555-1	235-555-1	24397	24165	8349	7946	330573	2040.5	2133	3481.8	3648.5
C11	235-555-2	235-555-2	26270	25952	8341	7921	344962	2129	2204	3452.5	3562.3
C12	235-555-3	235-555-3	24373	24105	8388	8001	346949	1843	1988	2894.2	3062.1
D1	NA-555-1	NA-555-1	23382	23171	8344	7871	351768	662	358	1036.9	560.9
D2	253-373-1	253-373-1	29426	28816	8215	7758	345570.5	2222.5	4581.5	3405.5	7117.2
D3	253-373-2	253-373-2	35860	32277	7567	7051	335295	2440	5214	3893.2	8231.1
D4	253-373-3	253-373-3	25916	25557	8397	7975	340891	1936	3855	3010.1	6042.3
D5	NA-blank-2	NA-blank-2	299	119	38	37	262742	1913	3600	3643.3	8364.3
D9	NA-156-3	NA-156-3	26025	25638	8684	8135	383004	631	110	867.6	151.4
D10	235-373-1	235-373-1	28719	27834	8220	7759	323522	2545	2946	4709.3	5505.7
D11	235-373-2	235-373-2	27678	26793	8128	7590	336758	3221	3644	5491.9	6150.5
