well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
D12	235-373-3	235-373-3	24833	24349	8107	7701	332348	2373	2902	4224.5	5215.6
E1	194-555-3	194-555-3	21666	21577	8349	7750	384858.5	1664	16456	2345.1	23892.3
E2	441-555-1	441-555-1	25286	25142	8684	7977	373999	966	11971	1393.6	17539.5
E3	441-555-2	441-555-2	25336	25125	8611	7892	400383	1099	14849.5	1496.9	20555.7
E4	441-555-3	441-555-3	25368	25200	8678	7940	390189.5	1086	15351	1520	21677.9
E5	194-555-7	194-555-7	28765	27595	8472	7738	393398	1853	19051	2553.7	26737.5
E9	194-555-11	194-555-11	24271	23989	8484	7653	390994	1596	17861	2221.1	25343.5
E10	443-555-1	443-555-1	23787	23550	8207	7647	358388	1664	1083	2449.5	1657.9
E11	443-555-2	443-555-2	27335	26634	8359	7783	376692	2016	1018	2767.3	1451.6
E12	443-555-3	443-555-3	25110	24722	8315	7855	370460	1832	850	2564.6	1224.7
F1	NA-373-1	NA-373-1	22580	22213	8289	7720	354036.5	653	514.5	1014.5	796.7
F2	441-373-1	441-373-1	25285	24810	8306	7934	347908	1158	1075.5	1833.4	1658.1
F3	441-373-2	441-373-2	25072	24712	8186	7815	333021	1117	965	1846	1568.5
F4	441-373-3	441-373-3	26001	25649	8276	7937	338005	1229	1165	2012.9	1863.9
F5	NA-555-2	NA-555-2	21612	21519	8384	7909	345296	677	436	1072.7	697.1
F6	194-373-1	194-373-1	29491	28300	8623	7967	370285	1405	758	2027.3	1093.3
F7	194-373-2	194-373-2	23717	23196	8526	7906	351439	1326	822.5	2008.1	1261.7
F8	194-373-3	194-373-3	24365	23629	8384	7734	381212.5	1720.5	973.5	2411.2	1362.1
F9	NA-blank-3	NA-blank-3	236	68	17	17	283890	1970	1724	4304.3	4472.8
F10	443-373-1	443-373-1	32689	30772	8358	7640	376466.5	1831	1200	2541.5	1718.2
F11	443-373-2	443-373-2	30866	23822	4587	4370	453386	2382.5	1787	2470.1	1896.3
F12	443-373-3	443-373-3	27537	26911	8509	8001	373837	1712	889	2383.4	1275.7
G1	194-555-4	194-555-4	23606	23450	8417	7777	403962	1783	17936	2378.8	24644.7
G2	216-555-1	216-555-1	22901	22725	8263	7912	353891.5	1365	1207.5	2138.2	1816.9
G3	216-555-2	216-555-2	24536	24378	8421	8050	344851.5	1204	1073	1930.1	1651.2
G4	216-555-3	216-555-3	22319	22193	8424	7920	340522	1232	1364.5	1985	2091.5
G5	194-555-8	194-555-8	25632	25297	8557	7864	408873.5	1881	19680.5	2502.7	26453
G6	188-555-1	188-555-1	27136	26770	8392	7608	353281.5	1306	11787	2043.6	18582.8
G7	188-555-2	188-555-2	28902	28075	8558	6013	362251	1404	11923	2109.5	18193.9
G8	188-555-3	188-555-3	25741	25432	8366	7602	365412	1391	12399	2129.5	18991.2
G9	194-555-12	194-555-12	23758	23457	8436	7726	397711	1641	18010.5	2226.9	24911.2
G10	444-555-1	444-555-1	23977	23672	8228	7705	359139	2519	2363	4006.2	3725.8
G11	444-555-2	444-555-2	28499	27752	8361	7859	355479	2043	1617	3297.5	2547.2
G12	444-555-3	444-555-3	25555	25332	8503	8081	348323	1552	1086	2517	1703
H1	NA-156-1	NA-156-1	23743	23586	8563	8051	406950	699	126	923.6	167.7
H2	216-373-1	216-373-1	25734	25183	8280	7861	340502	1687	1911	2951	3528.8
H3	216-373-2	216-373-2	27197	26695	8562	8192	344009.5	1593	1936	2687.5	3476.2
H4	216-373-3	216-373-3	27752	26895	8268	7780	340609	2317	3555.5	3926.2	6161.6
H5	NA-373-2	NA-373-2	23690	23243	8592	7938	358445.5	654	548	1007.1	848.3
H6	188-373-1	188-373-1	27303	26886	8366	7605	339479	1252	10450	2020.9	17024.3
H7	188-373-2	188-373-2	28961	28336	8580	7691	352321	1359	10160	2086.5	15917.2
H8	188-373-3	188-373-3	26628	26129	8514	7835	339621	1039	8402	1684.9	13728.3
H9	NA-555-3	NA-555-3	22120	21947	8550	8040	342515	643	550	1032.1	896.8
H10	444-373-1	444-373-1	28785	27908	8309	7815	342326	2870	3113	5000	5389.6
H11	444-373-2	444-373-2	28452	27689	8266	7755	339875	2685	2725	4768	4836.3
H12	444-373-3	444-373-3	26574	26151	8237	7749	349342	2239	3412	3829.6	5688.5
