well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	19810	19738	8601	7974	385926.5	2043	18967.5	2901.9	27410.3
A2	194-529-1	194-529-1	32533	32054	8267	7564	379218	1719.5	14909	2459.6	21537.4
A3	194-529-2	194-529-2	31124	30729	8273	7676	377878.5	1688	15268	2415	22274.3
A4	194-529-3	194-529-3	30846	30401	7935	7323	357340	1392	12568	2065.6	18848.8
A5	194-555-5	194-555-5	25810	25548	8417	7788	412202.5	2135	19804.5	2818.2	26608.4
A6	406-555-1	406-555-1	28887	28217	8375	7732	371906.5	1604	4880.5	2316.9	7024.8
A7	406-555-2	406-555-2	25431	25140	8322	7683	375964	1596	5233	2306.8	7576.4
A8	406-555-3	406-555-3	30330	29703	8216	7584	386288.5	1660	5992.5	2335.6	8398.2
A9	194-555-9	194-555-9	27264	26689	8471	7688	422525.5	2200	22023.5	2815.9	28842.3
A10	410-555-1	410-555-1	16137	14610	3159	2824	493645.5	3289.5	45768	3412.6	46925.8
A11	410-555-2	410-555-2	21788	18605	3916	3451	491007	3199	40248	3355.7	42048.5
A12	410-555-3	410-555-3	10600	8903	1939	1726	467932	3516.5	46897.5	3779.1	50552.2
B1	NA-blank-1	NA-blank-1	381	70	12	12	260613	2430.5	1117	5813	2842.1
B2	194-373-1	194-373-1	25432	24869	8459	8062	378639.5	2467	1061	3489.8	1506.5
B3	194-373-2	194-373-2	26383	25860	8382	8010	374315	2376	1069	3474.8	1564.4
B4	194-373-3	194-373-3	29337	28380	8282	7868	377054	2404	1083	3353	1535.2
B5	NA-156-2	NA-156-2	24563	24356	8629	8179	411955	749	74	972.6	92.7
B6	406-373-1	406-373-1	28631	27953	8353	7792	357026	1498	4397	2301.4	6706.2
B7	406-373-2	406-373-2	36904	35129	8685	8068	379124	1631.5	4959.5	2300.6	7003.7
B8	406-373-3	406-373-3	29334	28613	8526	7932	362281.5	1593	5530	2406.7	8339.6
B9	NA-373-3	NA-373-3	32325	30792	8272	7703	364939	763	716	1132.3	1066.3
B10	410-373-1	410-373-1	26531	26128	8246	7708	339923	4416.5	6409	7239	10631.4
B11	410-373-2	410-373-2	24617	24253	8303	7779	329905	3370	4608	5688.2	7738.6
B12	410-373-3	410-373-3	26252	25827	8162	7619	334799	4366	6320	7407.9	10898.5
