well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	14400	14306	5625	5260	430221.5	2503	30420.5	3217.1	39419.2
A2	254-555-1	254-555-1	16432	16143	5611	5192	438315	4094.5	28778.5	5287.7	36664.7
A3	254-555-2	254-555-2	17170	16756	5624	5209	450755	4498	32971	5483.9	40260.5
A4	254-555-3	254-555-3	16244	15908	5569	5096	439246	4381	29155	5553.7	37403
A5	194-555-5	194-555-5	17583	17282	5541	5187	437788	2524	31789	3187.6	40242.2
A6	265-555-1	265-555-1	15041	14962	5496	5204	357051.5	1716.5	6107	2656.4	9504.9
A7	265-555-2	265-555-2	15836	15710	5405	5126	356097	1632.5	7233.5	2512.4	11205.7
A8	265-555-3	265-555-3	16333	16181	5444	5149	363473	1696	7320	2577.3	11250.5
A9	194-555-9	194-555-9	16176	15960	5499	5213	396641	1600	23226	2184.5	32600
A10	278-555-1	278-555-1	16604	16423	5455	5205	369554	1787	2855	2636.8	4152.3
A11	278-555-2	278-555-2	16094	15918	5309	5080	365219.5	1748.5	2649	2574.6	3966.9
A12	278-555-3	278-555-3	17129	16875	5544	5279	378289	1772	2724	2481.6	3831.5
B1	NA-blank-1	NA-blank-1	490	159	64	60	284164	1525.5	1853.5	2714.9	3004.9
B2	254-373-1	254-373-1	14957	14739	5301	4950	414324	5831	10613.5	7592.1	13993
B3	254-373-2	254-373-2	15784	15478	5351	4993	408344	6061	10937	7819.6	14849.3
B4	254-373-3	254-373-3	15119	14891	5272	4925	418605	6088	11453	7895.2	15179.3
B5	NA-156-2	NA-156-2	17027	16856	5521	5201	408745	858	81	1119.4	101.9
B6	265-373-1	265-373-1	15331	15038	5398	5125	388906	2814	5802	4201	8874.3
B7	265-373-2	265-373-2	16082	15656	5523	5250	394810.5	3422	5414	5006.6	8678.1
B8	265-373-3	265-373-3	17723	17165	5347	5107	378636	2473	4719	3706.3	7716.8
B9	NA-373-3	NA-373-3	17014	16770	5562	5282	363652.5	763	710.5	1140.7	1073.5
B10	278-373-1	278-373-1	18199	17694	5324	5086	378752.5	1652.5	1492	2339.5	2187.4
B11	278-373-2	278-373-2	17305	16913	5271	4983	370960	1802	1340	2660.7	2001.3
B12	278-373-3	278-373-3	17948	17391	5393	5092	381467.5	2040.5	1265	2836.1	1806.6
C1	194-555-2	194-555-2	16036	15895	5465	5140	435363	2346	27366	3026.6	35192
C2	255-555-1	255-555-1	16485	16342	5273	4948	401918	2129	16112	2953.1	22182.4
C3	255-555-2	255-555-2	16204	16038	5475	5135	418274	2321	18111	3076.2	23805.1
C4	255-555-3	255-555-3	16065	15882	5675	5331	413612	2143	18290	2893.1	24730.5
C5	194-555-6	194-555-6	16069	15875	5616	5297	416539	1960	24882	2634.9	33294.8
C6	266-555-1	266-555-1	15585	15443	5500	5212	375313	2102	7005	3135.4	10500.6
C7	266-555-2	266-555-2	16153	15964	5382	5109	373725	2255	7236	3355	10616.2
C8	266-555-3	266-555-3	15865	15707	5478	5175	370216	2037	6944	3065.6	10331.4
C9	194-555-10	194-555-10	14986	14841	5715	5453	386129	1508	20094	2126.4	29027.5
C10	279-555-1	279-555-1	15778	15613	5512	5235	365836	1751	4892	2635.7	7268.9
C11	279-555-2	279-555-2	15618	15493	5633	5341	375883	1848	5133	2686.2	7416.6
C12	279-555-3	279-555-3	17318	17009	5403	5105	362509	1730	5423	2559.2	7994.9
D1	NA-555-1	NA-555-1	15297	15201	5362	5138	379838	852	517	1225.6	743.5
D2	255-373-1	255-373-1	14098	13888	5450	5088	388966	3030.5	9608.5	4305.1	13618.5
D3	255-373-2	255-373-2	15106	14898	5562	5227	400879	2556	9509	3474.9	12874.6
D4	255-373-3	255-373-3	15831	15563	5356	5028	419356.5	3143	12533	4108.1	16191.2
D5	NA-blank-2	NA-blank-2	370	79	31	30	174335.5	954.5	430	3117.8	1338.6
D6	266-373-1	266-373-1	14390	14081	5535	5110	386514	2828	8892.5	4047.3	12721.4
D7	266-373-2	266-373-2	15483	15175	5276	4919	414325	3000	9788	4006.6	12997.1
D8	266-373-3	266-373-3	16649	16283	5096	4792	406575.5	2803	9448.5	3847.9	12710.4
D9	NA-156-3	NA-156-3	15501	15379	5545	5202	394089.5	752	82	1016.6	107.4
D10	279-373-1	279-373-1	15259	14987	5122	4850	377148.5	3382	5397.5	5337.7	8324.3
D11	279-373-2	279-373-2	15831	15511	5437	5160	385435.5	3749	5603.5	5635.1	8536.2
D12	279-373-3	279-373-3	15653	15295	5114	4850	382993.5	3379	5498.5	5197.5	8459
E1	194-555-3	194-555-3	15528	15400	5501	5167	413917	2380	23187	3177.9	31532.5
E2	257-555-1	257-555-1	16388	16176	5599	5181	424146	1644	27100	2128.3	35575.6
E3	257-555-2	257-555-2	16034	15812	5519	4926	419223	1694	25143.5	2212.1	33333.6
E4	257-555-3	257-555-3	16660	16432	5550	5139	431177	1710	26469	2163.2	34300.4
E5	194-555-7	194-555-7	15864	15654	5666	5324	425076.5	2246	26139.5	2937.9	34054
E6	276-555-1	276-555-1	15261	15146	5607	5249	376298	1250	10973	1829.1	16073.7
E7	276-555-2	276-555-2	15705	15551	5495	5128	378528	1290	11753	1869.9	17073.6
E8	276-555-3	276-555-3	15640	15465	5374	5028	371706.5	1189	9981.5	1758.5	14673.5
E9	194-555-11	194-555-11	15622	15419	5543	5228	390401	1731.5	22622	2411.3	31977.4
E10	194-529-1	194-529-1	15821	15592	5530	5188	410693.5	2080	32488.5	2766.3	43950.2
E11	194-529-2	194-529-2	18388	17912	5580	5144	405914.5	2076	34494.5	2791.1	47230.1
E12	194-529-3	194-529-3	16821	16516	5704	5317	401934	2083	33829	2823.9	47430.4
F1	NA-373-1	NA-373-1	17312	16991	5447	5174	393623	821	687.5	1139.5	959.2
F2	257-373-1	257-373-1	16958	16712	5419	5079	378676	1540	13135	2278.5	19217.3
F3	257-373-2	257-373-2	16523	16274	5449	5080	374501	1700.5	14924.5	2550.3	22979.5
F4	257-373-3	257-373-3	16559	16263	5263	4929	376684	1673	14388	2484.4	21870.1
F5	NA-555-2	NA-555-2	14821	14746	5486	5203	380265	847	537	1219.3	765.4
F6	276-373-1	276-373-1	16031	15662	5414	5094	383489.5	1908	8143	2771.2	11836.8
