well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	20449	20358	8612	7925	396986	2184	18856	3017.5	26587.2
A2	406-555-1	406-555-1	24659	24433	8522	7947	370424	1485	5211	2139.3	7575.1
A3	406-555-2	406-555-2	26379	26011	8462	7879	377352	1609	5517	2281.6	7848.5
A4	406-555-3	406-555-3	23465	23290	8367	7739	384050	1699	6297	2402.8	8874.7
A5	194-555-5	194-555-5	24066	23812	8321	7739	410466	2071	19253	2748.5	26207.6
A6	410-555-1	410-555-1	33623	31737	7480	6758	484216	2921	36296.5	3069.2	38400.2
A7	410-555-2	410-555-2	25888	24037	5031	4521	496372	3150	38721	3203	39366.6
A8	410-555-3	410-555-3	42253	38951	8753	8011	491175	2935	36271	3018.4	37429.3
A9	194-555-9	194-555-9	23080	22920	8683	8077	423326	2199	19923	2830.5	25957.2
A10	414-555-1	414-555-1	21900	21753	8399	8003	386936	1800	689	2507.1	973.3
A11	414-555-2	414-555-2	26823	26638	8245	7810	374392.5	1671.5	600	2384	858.2
A12	414-555-3	414-555-3	25210	25026	8539	8116	391868.5	1655	659	2265.2	890.5
B1	NA-blank-1	NA-blank-1	877	202	47	43	339133	1428	560	2456.8	971.9
B2	406-373-1	406-373-1	28669	28187	8609	8066	385187	1712	5781.5	2422.5	8136.5
B3	406-373-2	406-373-2	29434	28697	8741	8176	382687.5	1674	5571.5	2363.1	7863.5
B4	406-373-3	406-373-3	30138	29553	8768	8225	372612	1721	5661	2513.4	8230.1
B5	NA-156-2	NA-156-2	23388	23161	8658	7986	411452	830	82	1085.7	105.4
B6	410-373-1	410-373-1	22539	22267	8411	7838	364560	4999	6803	7483	10406.6
B7	410-373-2	410-373-2	21795	21571	8489	7856	370585	5047	5968	7439	8968.7
B8	410-373-3	410-373-3	21116	20845	8291	7703	383520	5466	7104	7838.3	10279.9
B9	NA-373-3	NA-373-3	23858	23511	8587	8132	376576	743	542.5	1075.1	794
B10	414-373-1	414-373-1	23904	23449	8444	7963	380211	1860	839	2623.2	1183.9
B11	414-373-2	414-373-2	26818	26367	8645	8234	393030.5	1921.5	620	2568.4	824.8
B12	414-373-3	414-373-3	25802	25260	8464	7944	387137.5	1734	763	2347.9	1054.7
C1	194-555-2	194-555-2	23781	23539	8549	7908	405447.5	2100	18626	2799.4	25461.2
C2	407-555-1	407-555-1	25969	25252	8652	7647	384281	3889	28063	5826.6	42297.2
C3	407-555-2	407-555-2	24928	24144	8459	7515	410274	4035	30789	5511.6	42273.2
C4	407-555-3	407-555-3	26870	26118	8084	7248	390368.5	3664.5	26525	5405	39784.5
C5	194-555-6	194-555-6	23393	23189	8557	7872	413801	2145	17664	2833.5	23843.2
C6	411-555-1	411-555-1	24512	24271	8617	8099	368982	1750	3554	2572.9	5148.3
C7	411-555-2	411-555-2	25271	25062	8568	8069	375138	1833	4340	2663.2	6115
C8	411-555-3	411-555-3	27040	26812	8705	8191	377579	1857	4429	2647.3	6227.8
C9	194-555-10	194-555-10	21928	21808	8594	7953	407835	2016	16138	2679.3	22140.4
C10	415-555-1	415-555-1	23389	23234	8650	8241	373710	1855	637	2709	940.8
C11	415-555-2	415-555-2	22767	22575	8667	8307	376105	2329	859	3590.5	1312.3
C12	415-555-3	415-555-3	20241	20117	8329	7985	361300	1581	577	2419.5	868.4
D1	NA-555-1	NA-555-1	22187	21963	8513	8096	353872.5	719	490	1102.6	755.6
D2	407-373-1	407-373-1	20916	20492	7851	7379	323447	8517	4583	15192	8174.3
D3	407-373-2	407-373-2	21349	20940	8286	7847	363733	9044	5607	14640.7	8799.7
D4	407-373-3	407-373-3	20554	20273	8070	7692	357534	9270	5187	15182.6	8311.4
D5	NA-blank-2	NA-blank-2	819	176	29	25	253927	3746	1135	8550.7	2452.8
D6	411-373-1	411-373-1	26175	25826	8397	7955	374755	1893	4919	2759.3	6913.6
D7	411-373-2	411-373-2	26997	26386	8378	7949	358589	1869	4644	2820.6	6720.5
D8	411-373-3	411-373-3	24549	24256	8389	7922	364999	1812	4522	2732	6753
D9	NA-156-3	NA-156-3	22299	22015	8443	7639	394364	775	87	1074.8	117.9
D10	415-373-1	415-373-1	22685	22323	8241	7863	382719	1772	785	2403.8	1079
D11	415-373-2	415-373-2	24303	23888	8285	7865	364420	1809	841	2688.8	1242.3
D12	415-373-3	415-373-3	22836	22439	8365	7954	383198	1861	814	2545.3	1104.1
E1	194-555-3	194-555-3	24773	24590	8948	8288	416675	2050.5	17902	2701.5	24007.5
E2	408-555-1	408-555-1	23513	23234	8454	8078	345591.5	1453	2119	2296.1	3295.1
E3	408-555-2	408-555-2	24067	23857	8398	8044	351885	1581	2403.5	2484.8	3655.7
E4	408-555-3	408-555-3	23197	23057	8378	8021	347022	1502	2420	2370.6	3720.9
E5	194-555-7	194-555-7	27057	26635	8485	7732	414036.5	2170	19408	2839	25937.6
E6	412-555-1	412-555-1	21848	21751	8316	7885	355978	2160	2706	3360.8	4158.6
E7	412-555-2	412-555-2	21981	21872	8348	7915	365722	2354	2822	3506.6	4130.4
E8	412-555-3	412-555-3	23284	23084	8358	7944	361217.5	2364.5	2704	3574.8	3971.9
E9	194-555-11	194-555-11	22647	22492	8607	7902	406671	2046	16918.5	2735.1	23088.5
E10	194-529-1	194-529-1	30352	29787	8446	7600	394295.5	1693.5	14102	2327.3	19286.8
E11	194-529-2	194-529-2	23548	23313	8316	7616	384321.5	1649	12908.5	2332.1	18273.6
E12	194-529-3	194-529-3	26608	26283	8567	7822	391396.5	1627	13954.5	2238	19293.3
F1	NA-373-1	NA-373-1	20095	19954	8310	7843	332504	653	566	1070.2	938.6
F2	408-373-1	408-373-1	25296	24858	8481	8049	351522	1797	3161	2839.4	4925.2
F3	408-373-2	408-373-2	27168	26498	8153	7610	348726.5	2115	4347	3340.7	6855.4
F4	408-373-3	408-373-3	23662	23191	8080	7583	345168	2044	4190	3267.5	6772.5
F5	NA-555-2	NA-555-2	20050	19939	8217	7829	348384	716	360	1116	566.3
F6	412-373-1	412-373-1	22046	21762	8382	7831	361934	3009	3861	4621.3	5977.8
F7	412-373-2	412-373-2	22593	22226	8323	7746	363122	2958.5	3902.5	4563.6	6040.9
F8	412-373-3	412-373-3	22365	22075	8340	7807	356368	2918	4074	4492.6	6301.6
F9	NA-blank-3	NA-blank-3	684	161	33	33	258167	1188	1070	2700.6	2850.8
F10	194-373-1	194-373-1	25774	25312	8418	8047	389571	2523	921	3492.3	1298.2
F11	194-373-2	194-373-2	21728	21396	8339	7890	374212.5	2322.5	916	3324.1	1336.9
F12	194-373-3	194-373-3	22242	21851	8390	8008	382663	2249	834	3143.8	1179.9
G1	194-555-4	194-555-4	22914	22728	8653	8036	388078	1558	12921	2212.3	18816.3
G2	409-555-1	409-555-1	22654	22473	8289	7916	343439.5	1785.5	2487	2852.8	3903.3
G3	409-555-2	409-555-2	23318	23181	8520	8104	354110.5	1943	2892.5	3021.6	4462.9
G4	409-555-3	409-555-3	22934	22777	8472	8092	354120.5	1933	2414	3012	3714.3
G5	194-555-8	194-555-8	24523	24203	8562	7801	425423	2096	18995	2673.3	24698.7
G6	413-555-1	413-555-1	21622	21505	8334	7918	355909.5	1655.5	2085	2575.2	3224.8
G7	413-555-2	413-555-2	22196	22097	8418	7972	363356	1861	2636	2847.7	3975.2
