well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	23908	23732	9419	8727	389997	2021	16592	2783.6	23645
A2	416-555-1	416-555-1	22505	22423	9031	8622	350612	1731	2073	2745.8	3194.1
A3	416-555-2	416-555-2	30196	29880	9058	8642	356529.5	1900.5	2263	2919.4	3384.5
A4	416-555-3	416-555-3	23057	22963	9035	8620	360656.5	1705	1891.5	2594.4	2809.2
A5	194-555-5	194-555-5	26698	26497	9381	8703	401053	1844	16474	2521.7	22969.7
A6	420-555-1	420-555-1	23617	22542	6831	6195	471839	3004	42446	3350.9	48676.2
A7	420-555-2	420-555-2	12672	11403	2386	2111	469989	3058	50105	3407.2	56138.3
A8	420-555-3	420-555-3	6766	6078	1257	1114	477044	3177.5	54242.5	3451.9	60079.8
A9	194-555-9	194-555-9	34231	33809	9314	8583	401667	1963	17847	2676.5	24755.3
A10	424-555-1	424-555-1	9533	8997	2710	2304	440552	4470.5	41048	5487.8	51216.8
A11	424-555-2	424-555-2	15489	14487	3939	3409	434870	4316	40783	5401.2	51643.5
A12	424-555-3	424-555-3	33961	31846	8609	7507	430408	4367	36493	5632.6	47715.7
B1	NA-blank-1	NA-blank-1	1042	258	64	59	300217	3249	17231	6220.6	24389.6
B2	416-373-1	416-373-1	27615	27078	9152	8681	359046	1854	942	2784.7	1435.7
B3	416-373-2	416-373-2	30558	29655	9264	8730	379444	1965	1037	2722.7	1458.4
B4	416-373-3	416-373-3	27926	27171	9270	8780	384732.5	2078	982.5	2808.9	1358.6
B5	NA-156-2	NA-156-2	23919	23755	9520	8813	410773	746	91	967.9	117.2
B6	420-373-1	420-373-1	29242	28848	9109	8483	371487	4235	6349	6391.8	9697.8
B7	420-373-2	420-373-2	32209	31531	9058	8455	350947	4169	5922	6517.6	9375.7
B8	420-373-3	420-373-3	29887	29459	8959	8288	387568	5442	8376	7526.4	11829.3
B9	NA-373-3	NA-373-3	27701	27017	9063	8538	366584.5	705	606	1051.5	912.3
B10	424-373-1	424-373-1	30833	30199	9049	8553	332297	3513	4723	6010.9	7919
B11	424-373-2	424-373-2	32383	31247	8927	8325	334865	4888	6811	7912.8	11100.6
B12	424-373-3	424-373-3	28124	27405	8847	8282	327556	4048.5	5603.5	6740.1	9546
C1	194-555-2	194-555-2	31072	30873	9078	8405	406739	1975	16614	2644.3	22701.1
C2	417-555-1	417-555-1	24992	24844	9220	8588	377240.5	1721	5087	2505.8	7356.1
C3	417-555-2	417-555-2	29293	29011	9160	8495	378092	1863	5574	2684.8	8072.7
C4	417-555-3	417-555-3	25110	24951	9098	8570	360970.5	1434	3429.5	2147.4	5075.6
C5	194-555-6	194-555-6	25387	25232	9374	8739	397733	1882	14948	2567	20972.7
C6	421-555-1	421-555-1	45109	41050	10492	9154	478059.5	2802	28800.5	2948.8	30619.6
C7	421-555-2	421-555-2	42162	39427	10217	9121	462034	2668	25364	2917.5	28189.3
C8	421-555-3	421-555-3	42148	38781	10178	8971	466964	2768	27522	2948.8	30392.2
C9	194-555-10	194-555-10	27930	27657	9587	8920	414448	1764	15536	2313.8	20569.9
C10	425-555-1	425-555-1	28629	27895	9334	8269	400673	3786	32155	5316.3	46048.1
C11	425-555-2	425-555-2	15183	14432	4174	3549	439195	4124	37754	5135.9	48261.2
C12	425-555-3	425-555-3	28040	26280	7929	6987	420844	4018	36441	5283.2	48345.1
D1	NA-555-1	NA-555-1	22949	22819	9268	8820	351435.5	660	404	1035.2	636.6
D2	417-373-1	417-373-1	29469	29023	8961	8393	356099	3362	5045	5242.6	7800.7
D3	417-373-2	417-373-2	24760	24053	6097	5686	373167.5	4067	6548.5	6148	9929.7
D4	417-373-3	417-373-3	26033	25585	9114	8579	343466	2746	3520	4496.3	5745.9
D5	NA-blank-2	NA-blank-2	1038	220	34	32	324038	1771.5	3159.5	3288.3	5647.5
D6	421-373-1	421-373-1	28148	27670	8886	8342	364079.5	15161	5370	24381.2	8357.9
D7	421-373-2	421-373-2	25270	24779	8962	8491	365230	12015	4321	19554.8	6823
D8	421-373-3	421-373-3	28542	28028	9130	8627	347997	9093	4189	15042	6871.9
D9	NA-156-3	NA-156-3	25610	25406	9598	8893	435910	802	81	1003.2	99.2
D10	425-373-1	425-373-1	27942	27372	9003	8458	325538.5	3927	4258	6755	7416.2
D11	425-373-2	425-373-2	29094	28530	8895	8423	326747	3059	3303	5449.6	5808.3
D12	425-373-3	425-373-3	25974	25419	8921	8396	324807	3160	3802.5	5488.4	6624
E1	194-555-3	194-555-3	26036	25907	9541	8837	425336	2104	17906	2684.4	23057
E2	418-555-1	418-555-1	33255	31960	9158	8191	429100	3501	15698	4392.3	19583.5
E3	418-555-2	418-555-2	31198	30522	9468	8616	425451	3268.5	14428.5	4127.8	18158.5
E4	418-555-3	418-555-3	29690	29206	9718	8906	421621.5	3009	13059	3852	16829.6
E5	194-555-7	194-555-7	24003	23894	9469	8738	399189	1839.5	15949	2516.6	22237
E6	422-555-1	422-555-1	4319	3864	1356	1242	324683.5	2566.5	26681	4698	48567
E7	422-555-2	422-555-2	5866	5352	2143	1927	369155	3409	32846	5135.7	50130.3
E8	422-555-3	422-555-3	3361	2659	388	334	476252.5	4489.5	46971	5188.7	51211.3
E9	194-555-11	194-555-11	25665	25469	9482	8794	420830.5	1854.5	17459.5	2399.3	22880.1
E10	194-529-1	194-529-1	26058	25750	9257	8513	380703	1407	11165	2029.7	16028.5
E11	194-529-2	194-529-2	28350	27937	9242	8569	364173	1118	7628	1674.1	11130.6
E12	194-529-3	194-529-3	28452	27911	9235	8526	384139.5	1352	9562	1916.8	13536.1
F1	NA-373-1	NA-373-1	25761	25366	9043	8475	376145	723	448	1041.7	652.1
F2	418-373-1	418-373-1	27485	27103	8984	8438	344296	2841	3545.5	4671.6	5771.4
F3	418-373-2	418-373-2	31906	30935	8496	7942	370557	4135.5	5752.5	6169.7	8689.4
F4	418-373-3	418-373-3	29057	28590	9088	8560	352564	3101.5	4103.5	4954.6	6458.8
F5	NA-555-2	NA-555-2	24005	23860	9114	8661	364769	696	314	1035.2	468.1
F6	422-373-1	422-373-1	27495	27115	9128	8489	357606	2633	7668	4061.2	11851.7
F7	422-373-2	422-373-2	28047	27504	9128	8482	359404	2689.5	6707	4153.4	10319.9
F8	422-373-3	422-373-3	30813	30123	9105	8403	362872	2977	8222	4527.5	12363.5
F9	NA-blank-3	NA-blank-3	813	188	27	21	343302	2704	7699	3962.8	11702.2
F10	194-373-1	194-373-1	30673	29191	9015	8533	367775	2253	985	3093.9	1402.7
F11	194-373-2	194-373-2	26823	26032	9128	8587	369156	1879	812	2637.7	1167.9
F12	194-373-3	194-373-3	25475	24772	9132	8598	365187	1963	874	2757	1256.9
