well	sample	name	n_root	n_cells	n_singlet	n_induction	FSC.H	BL1.H	YL2.H	nGFP	nRFP
A1	194-555-1	194-555-1	15478	15373	5595	5154	439634.5	2582	27473	3200.4	34376.3
A2	194-529-1	194-529-1	19106	18696	5470	5078	448962.5	2509	39146	3038.9	47743.6
A3	194-529-2	194-529-2	17737	17319	5576	5122	434907	2585.5	42541.5	3250	54018.6
A4	194-529-3	194-529-3	11566	11254	3514	3256	459244.5	2576	40099	3045.9	47423.9
A5	194-555-5	194-555-5	18475	17931	5576	5153	447293	2494	26626	3030.9	32401.2
A6	213-555-1	213-555-1	16782	16625	5392	5076	392276.5	1829	10975	2583.1	15535.4
A7	213-555-2	213-555-2	18368	18079	5531	5202	405482.5	1967	12308.5	2625.9	16756.6
A8	213-555-3	213-555-3	17668	17347	5511	5177	406996	2152	13389	2884.5	18335.4
A9	194-555-9	194-555-9	17272	16918	5648	5281	446140	2302	22939	2810.9	28417.1
A10	234-555-1	234-555-1	21536	18472	3066	2751	538643	2709	47425	2487.5	44942.7
A11	234-555-2	234-555-2	32526	28667	6261	5773	540909	2047	41247	1910	38726
A12	234-555-3	234-555-3	13536	10967	2033	1826	541004	2733	52617	2485	49499
B1	NA-blank-1	NA-blank-1	603	76	18	18	197650.5	1533.5	2488.5	2910.4	6502.9
B2	194-373-1	194-373-1	18600	17943	5620	5278	411092.5	2192	1041.5	2874.3	1381.5
B3	194-373-2	194-373-2	17181	16837	5530	5217	400065	2146	1206	2844.5	1619.5
B4	194-373-3	194-373-3	14828	14575	5531	5274	378477	1976.5	1287.5	2866	1788.9
B5	NA-156-2	NA-156-2	16485	16317	5570	5204	426959.5	920	75	1152.6	91.3
B6	213-373-1	213-373-1	16707	16509	5613	5324	374482.5	1985	10661	2935.9	15736.9
B7	213-373-2	213-373-2	17243	16994	5486	5124	377729	2075.5	11236.5	3020.1	16603.9
B8	213-373-3	213-373-3	16464	16258	5513	5154	376831.5	2040	10992	2994	16105.8
B9	NA-373-3	NA-373-3	16893	16416	5560	5244	373079.5	850	725	1236.3	1064.3
