Pair_No,Formula,Group,Locus,Mean,Median,IntDen
4,nuc_to_cyto,D1,cytoplasm,2.738571735,3.134615385,0.147134874
5,nuc_to_cyto,D1,cytoplasm,2.271980832,2.274939173,0.249140781
6,nuc_to_cyto,D1,cytoplasm,1.955058588,1.905963303,0.213595832
7,nuc_to_cyto,D1,cytoplasm,1.160721328,1.078095238,0.082094278
8,nuc_to_cyto,D1,cytoplasm,2.372290977,2.544802867,0.204037618
9,nuc_to_cyto,D1,cytoplasm,2.068779335,2.083857442,0.116561908
10,nuc_to_cyto,D1,cytoplasm,2.646251409,2.899521531,0.161546581
1,nuc_to_wc,F7,wc,1.621657652,1.771455224,0.374963431
2,nuc_to_wc,F7,wc,1.654600784,1.839390387,0.158646796
3,nuc_to_wc,F7,wc,2.323695681,2.984184915,0.173502662
4,nuc_to_wc,F7,wc,1.835026961,2.152472527,0.193932147
5,nuc_to_wc,F7,wc,1.411170767,1.432941176,0.090513594
6,nuc_to_wc,F7,wc,2.073442481,2.268292683,0.111343546
7,nuc_to_wc,F7,wc,1.484972347,1.626522327,0.17993772
8,nuc_to_wc,F7,wc,2.090802294,2.406722689,0.134956896
9,nuc_to_wc,F7,wc,1.724128327,1.690810811,0.10744804
10,nuc_to_wc,F7,wc,1.530842148,1.692708333,0.174306258
1,nuc_to_cyto,F7,cytoplasm,2.594498145,2.324357405,0.599906388
2,nuc_to_cyto,F7,cytoplasm,1.966593984,1.949068323,0.188561469
3,nuc_to_cyto,F7,cytoplasm,2.811497978,3.157014157,0.209925253
4,nuc_to_cyto,F7,cytoplasm,2.276514568,2.290935673,0.24059035
5,nuc_to_cyto,F7,cytoplasm,1.551614093,1.492647059,0.099521656
6,nuc_to_cyto,F7,cytoplasm,2.333234624,2.37244898,0.125294252
7,nuc_to_cyto,F7,cytoplasm,1.810804505,1.712250712,0.219419578
8,nuc_to_cyto,F7,cytoplasm,2.416990829,2.490434783,0.156011759
9,nuc_to_cyto,F7,cytoplasm,1.931683325,1.795637199,0.120382952
10,nuc_to_cyto,F7,cytoplasm,1.854007528,1.77919708,0.211102797
1,nuc_to_wc,H7,wc,1.607558954,1.813397129,0.14769923
2,nuc_to_wc,H7,wc,1.99649736,2.332225914,0.204342123
3,nuc_to_wc,H7,wc,2.241613672,3.436391673,0.308793732
4,nuc_to_wc,H7,wc,1.72746891,2.20979021,0.185227492
5,nuc_to_wc,H7,wc,2.393411752,3.585399449,0.231036381
6,nuc_to_wc,H7,wc,1.962036324,2.721862872,0.283575634
7,nuc_to_wc,H7,wc,2.33281026,3.133464181,0.124135492
8,nuc_to_wc,H7,wc,2.870737943,5.081081081,0.294237839
9,nuc_to_wc,H7,wc,1.685846124,2.019498607,0.141913641
10,nuc_to_wc,H7,wc,1.788686845,2.057671382,0.201329225
1,nuc_to_cyto,H7,cytoplasm,1.886139923,1.946084724,0.173294746
2,nuc_to_cyto,H7,cytoplasm,2.509242342,2.471830986,0.256821592
3,nuc_to_cyto,H7,cytoplasm,3.243046731,4.115420129,0.446746139
4,nuc_to_cyto,H7,cytoplasm,2.120185883,2.337854501,0.227336453
5,nuc_to_cyto,H7,cytoplasm,3.112517763,3.745323741,0.300451641
6,nuc_to_cyto,H7,cytoplasm,2.738650531,2.886145405,0.395820756
7,nuc_to_cyto,H7,cytoplasm,2.663438225,3.288362513,0.141729104
8,nuc_to_cyto,H7,cytoplasm,4.067571926,5.431781701,0.416907926
9,nuc_to_cyto,H7,cytoplasm,1.964656164,2.071428571,0.165383868
10,nuc_to_cyto,H7,cytoplasm,2.239580589,2.156214367,0.252080371
