Pair_No,Formula,Group,Locus,Mean,Median,IntDen
4,nuc_to_cyto,D1,cytoplasm,6.554954931,10.9304175,0.147134874
5,nuc_to_cyto,D1,cytoplasm,17.13510615,13.01834862,0.249140781
6,nuc_to_cyto,D1,cytoplasm,8.207705871,6.758017493,0.213595832
7,nuc_to_cyto,D1,cytoplasm,1.660001316,1.260152284,0.082094278
8,nuc_to_cyto,D1,cytoplasm,4.716997255,5.522560336,0.204037618
9,nuc_to_cyto,D1,cytoplasm,5.718464209,5.717153285,0.116561908
10,nuc_to_cyto,D1,cytoplasm,9.238613383,16.6916996,0.161546581
1,nuc_to_wc,F7,wc,1.886627103,2.173715583,0.374963431
2,nuc_to_wc,F7,wc,2.091536329,2.47446458,0.158646796
3,nuc_to_wc,F7,wc,3.044659499,4.587769468,0.173502662
4,nuc_to_wc,F7,wc,2.491290625,3.326677759,0.193932147
5,nuc_to_wc,F7,wc,3.576643254,4.194444444,0.090513594
6,nuc_to_wc,F7,wc,3.372745336,4.150242326,0.111343546
7,nuc_to_wc,F7,wc,1.909328047,2.245963402,0.17993772
8,nuc_to_wc,F7,wc,3.415401009,4.677504394,0.134956896
9,nuc_to_wc,F7,wc,2.221259306,2.145982783,0.10744804
10,nuc_to_wc,F7,wc,2.299673542,2.912751678,0.174306258
1,nuc_to_cyto,F7,cytoplasm,4.055374381,3.40658363,0.599906388
2,nuc_to_cyto,F7,cytoplasm,2.843849596,2.745886654,0.188561469
3,nuc_to_cyto,F7,cytoplasm,4.159385326,5.091796875,0.209925253
4,nuc_to_cyto,F7,cytoplasm,3.811327863,3.789008212,0.24059035
5,nuc_to_cyto,F7,cytoplasm,8.264293077,5.950738916,0.099521656
6,nuc_to_cyto,F7,cytoplasm,4.473825678,4.658204896,0.125294252
7,nuc_to_cyto,F7,cytoplasm,2.881505155,2.494321578,0.219419578
8,nuc_to_cyto,F7,cytoplasm,4.871063454,5.128131021,0.156011759
9,nuc_to_cyto,F7,cytoplasm,2.712866234,2.376092137,0.120382952
10,nuc_to_cyto,F7,cytoplasm,4.011701322,3.364341085,0.211102797
1,nuc_to_wc,H7,wc,2.00463235,2.451131029,0.14769923
2,nuc_to_wc,H7,wc,2.533508696,3.246079164,0.204342123
3,nuc_to_wc,H7,wc,2.536420943,4.399311532,0.308793732
4,nuc_to_wc,H7,wc,2.1377923,3.1157766,0.185227492
5,nuc_to_wc,H7,wc,3.203233374,6.234244283,0.231036381
6,nuc_to_wc,H7,wc,2.507652836,4.281558185,0.283575634
7,nuc_to_wc,H7,wc,2.848411758,4.336402701,0.124135492
8,nuc_to_wc,H7,wc,3.832012661,10.10247823,0.294237839
9,nuc_to_wc,H7,wc,2.237894037,3.087849401,0.141913641
10,nuc_to_wc,H7,wc,2.220643775,2.762146483,0.201329225
1,nuc_to_cyto,H7,cytoplasm,2.652431646,2.790573372,0.173294746
2,nuc_to_cyto,H7,cytoplasm,3.69565312,3.587701197,0.256821592
3,nuc_to_cyto,H7,cytoplasm,4.104995319,5.714924539,0.446746139
4,nuc_to_cyto,H7,cytoplasm,3.009719731,3.445897205,0.227336453
5,nuc_to_cyto,H7,cytoplasm,5.046929555,6.824175824,0.300451641
6,nuc_to_cyto,H7,cytoplasm,4.513451791,4.802544248,0.395820756
7,nuc_to_cyto,H7,cytoplasm,3.440767626,4.681245858,0.141729104
8,nuc_to_cyto,H7,cytoplasm,6.909899362,11.80203443,0.416907926
9,nuc_to_cyto,H7,cytoplasm,3.008491138,3.254960914,0.165383868
10,nuc_to_cyto,H7,cytoplasm,3.225785645,2.989795918,0.252080371
