plasmid_id	chimera_makeup	host	A
194	SSSSS	PHO2	18.760722827531225
194	SSSSS	PHO2	17.09317980513729
194	SSSSS	PHO2	19.55650463613375
194	SSSSS	PHO2	16.262471569370735
194	SSSSS	PHO2	16.17796817625459
194	SSSSS	PHO2	17.1921508974749
194	SSSSS	PHO2	16.5348895113601
194	SSSSS	PHO2	16.231522656909654
194	SSSSS	PHO2	17.299153870260106
194	SSSSS	pho2	1.4130027548209365
194	SSSSS	pho2	1.1776654024441635
194	SSSSS	pho2	1.0557169459962756
194	SSSSS	PHO2	15.74249547920434
194	SSSSS	PHO2	15.841729664348351
194	SSSSS	PHO2	16.304878744650498
188	CCCCC	PHO2	19.908582834331337
188	CCCCC	PHO2	16.874349821519633
188	CCCCC	PHO2	19.128597230583985
188	CCCCC	pho2	17.02679778733866
188	CCCCC	pho2	16.79269754768392
188	CCCCC	pho2	18.509215536938306
194	SSSSS	PHO2	15.713966160022942
194	SSSSS	PHO2	16.037632135306552
194	SSSSS	PHO2	15.622343696617698
194	SSSSS	pho2	0.7135574436645733
194	SSSSS	pho2	0.8644741873804971
194	SSSSS	pho2	1.0648506151142354
194	SSSSS	PHO2	12.233569367951743
188	CCCCC	PHO2	12.86984572230014
188	CCCCC	PHO2	13.353254156769596
188	CCCCC	PHO2	18.17274693583273
194	SSSSS	PHO2	15.367267080745341
194	SSSSS	PHO2	15.80921658986175
188	CCCCC	pho2	11.610470743510778
188	CCCCC	pho2	12.085994283380971
188	CCCCC	pho2	18.264398340248963
194	SSSSS	PHO2	14.989286826533789
194	SSSSS	PHO2	16.08888009497428
194	SSSSS	PHO2	16.79786950732357
194	SSSSS	PHO2	14.343943826799297
194	SSSSS	PHO2	13.736299478367597
194	SSSSS	PHO2	17.42208688591149
194	SSSSS	PHO2	19.683425211319367
194	SSSSS	PHO2	17.9179468511103
194	SSSSS	PHO2	14.662760344348792
194	SSSSS	PHO2	15.13392914139802
194	SSSSS	PHO2	17.318724508713384
194	SSSSS	PHO2	15.91743842364532
194	SSSSS	PHO2	18.404584742577978
194	SSSSS	PHO2	19.553202176642944
194	SSSSS	PHO2	15.61945309795777
194	SSSSS	PHO2	16.034825220516172
194	SSSSS	PHO2	18.31768180140273
194	SSSSS	PHO2	16.607140766754462
194	SSSSS	pho2	0.69543001079525
194	SSSSS	pho2	0.9430224642614022
194	SSSSS	pho2	0.8109065647794372
188	CCCCC	PHO2	17.368531802965087
188	CCCCC	PHO2	17.85484034465281
188	CCCCC	PHO2	16.65716903344022
188	CCCCC	pho2	14.643688524590162
188	CCCCC	pho2	17.677628635346757
188	CCCCC	pho2	15.346507666098807
211	CCCSC	PHO2	25.342114877207226
211	CCCSC	PHO2	23.823758020164988
211	CCCSC	PHO2	21.780363484437018
211	CCCSC	pho2	4.693955527716881
211	CCCSC	pho2	5.073526824978012
211	CCCSC	pho2	4.991545495427972
217	CSSCC	PHO2	6.224923391215525
217	CSSCC	PHO2	6.2949570414643254
217	CSSCC	PHO2	6.768105406633349
217	CSSCC	pho2	5.0858744993324425
217	CSSCC	pho2	5.53822739480752
217	CSSCC	pho2	5.377070063694267
194	SSSSS	PHO2	17.073333333333334
194	SSSSS	PHO2	19.326413003324713
211	CCCSC	PHO2	24.308709608388618
211	CCCSC	PHO2	20.41522446324008
211	CCCSC	PHO2	18.139151676660006
194	SSSSS	PHO2	16.09647213979558
194	SSSSS	pho2	1.167711493090664
194	SSSSS	pho2	1.0953809711804186
194	SSSSS	pho2	1.2921520753400768
211	CCCSC	pho2	4.651707751707751
211	CCCSC	pho2	4.53754606250853
211	CCCSC	pho2	4.8007310558133
194	SSSSS	PHO2	14.318184919822585
188	CCCCC	PHO2	17.21335601871544
188	CCCCC	PHO2	20.340847201210288
188	CCCCC	PHO2	16.621898454746137
194	SSSSS	PHO2	16.48736360436466
194	SSSSS	PHO2	18.683474747474747
188	CCCCC	pho2	19.95580304806565
188	CCCCC	pho2	17.127221095334686
188	CCCCC	pho2	18.192581747193753
194	SSSSS	PHO2	17.434812030075186
194	SSSSS	PHO2	17.665194805194805
217	CSSCC	PHO2	6.735822839774208
217	CSSCC	PHO2	5.728507718696397
217	CSSCC	PHO2	5.86917928848186
194	SSSSS	PHO2	15.978522167487684
217	CSSCC	pho2	5.393266391021855
217	CSSCC	pho2	5.161523809523809
217	CSSCC	pho2	4.9057559478127395
194	SSSSS	PHO2	17.735733232284957
194	SSSSS	PHO2	17.129340348037232
194	SSSSS	PHO2	16.569299887682515
194	SSSSS	PHO2	16.967699961729814
194	SSSSS	PHO2	18.777352261472434
194	SSSSS	PHO2	19.779614124499453
194	SSSSS	PHO2	17.595482023544385
194	SSSSS	PHO2	16.443985578498854
241	CSSSC	PHO2	13.389774315957661
241	CSSSC	PHO2	19.543815283122594
241	CSSSC	PHO2	12.96065180102916
194	SSSSS	PHO2	17.705637015314434
241	CSSSC	pho2	2.4038139633435742
241	CSSSC	pho2	2.503323197219809
241	CSSSC	pho2	2.3723967105914987
194	SSSSS	PHO2	17.396835225318195
194	SSSSS	PHO2	17.104806786050894
194	SSSSS	PHO2	18.976325957147875
194	SSSSS	pho2	1.1274765003615328
194	SSSSS	pho2	1.1598978288633461
194	SSSSS	pho2	1.0531894636623294
194	SSSSS	PHO2	17.225055502695845
194	SSSSS	PHO2	17.640875397105543
194	SSSSS	PHO2	17.34508056222146
188	CCCCC	PHO2	18.187753179463023
188	CCCCC	PHO2	17.2291447682752
188	CCCCC	PHO2	18.88585707146427
188	CCCCC	pho2	15.975454142667257
