plasmid	set	symbol	group	A_PHO2	A_pho2	s_PHO2	s_pho2	boost	full
188	M	CCCCC	ref	17.51724932190018	16.336814153982726	1.019334029216233	16.921376411862912	1.0722561422803283	Cg(1-533)
194	M	SSSSS	ref	17.184994143057516	0.9654542134367762	1	1	17.79990589287836	Sc(1-312)
209	M	CCSCC	chimera	8.253969236943249	7.822824358284187	0.48030096305140324	8.102739880783039	1.0551137107152981	Cg(1-112) Sc(100-176) Cg(283-533)
210	A	CCCCS	chimera	5.397018405471347	5.477823013463903	0.31405413121142456	5.673829931265429	0.9852487735010886	Cg(1-458) Sc(243-312)
211	A	CCCSC	chimera	22.301553688349657	4.791502119692074	1.2977341454235616	4.962951171589507	4.654397124587491	Cg(1-282) Sc(177-242) Cg(459-533)
212	M	SCCCC	chimera	9.788766065128724	8.766100475027617	0.5696112540767575	9.079768209641434	1.1166614041231242	Sc(1-42) Cg(45-533)
213	M	CSCCC	chimera	11.998733883952156	10.354378523556342	0.6982099489861896	10.724877865204334	1.1588077311115181	Cg(1-44) Sc(43-99) Cg(113-533)
215	M	SSCCC	chimera	6.701184771304095	5.829635880182562	0.3899439659693614	6.038231330961323	1.149503143769974	Sc(1-99) Cg(113-533)
216	A	SCCCS	n.f.	2.173973882485664	2.661074215161377	0.12650419688178463	2.756292507843139	0.816953495734739	Sc(1-42) Cg(45-458) Sc(243-312)
217	M	CSSCC	chimera	6.270249281044277	5.243619684365439	0.36486769962487103	5.431246361957923	1.1957864335088744	Cg(1-44) Sc(43-176) Cg(283-533)
218	A	CCSSC	chimera	21.603642745958357	2.8007284301422244	1.2571224968782377	2.900943816043155	7.713579979213228	Cg(1-112) Sc(100-242) Cg(459-533)
219	M	CCCSS	chimera	32.67530661433337	5.345591913348256	1.9013859616317481	5.536867351087818	6.112570346558108	Cg(1-282) Sc(177-312)
220	M	SCSCC	n.f.	2.461363860540186	2.2263280552804905	0.14322750651239186	2.305990304144324	1.105571056656376	Sc(1-42) Cg(45-112) Sc(100-176) Cg(283-533)
