plasmid_id	chimera_makeup	host	A
194	SSSSS	PHO2	18.760722827531225
194	SSSSS	PHO2	17.09317980513729
194	SSSSS	PHO2	19.55650463613375
194	SSSSS	PHO2	16.262471569370735
232	SCSSS	PHO2	18.779096240082787
232	SCSSS	PHO2	28.03059750492449
232	SCSSS	PHO2	20.0797869006581
194	SSSSS	PHO2	16.17796817625459
194	SSSSS	PHO2	17.1921508974749
232	SCSSS	pho2	0.8848884699968583
232	SCSSS	pho2	2.2193982936686125
232	SCSSS	pho2	0.8335387088132868
194	SSSSS	PHO2	16.5348895113601
234	CCSSS	PHO2	31.353541076487254
234	CCSSS	PHO2	36.742901716068644
194	SSSSS	PHO2	16.231522656909654
219	CCCSS	PHO2	30.60765845070423
219	CCCSS	PHO2	34.617907720420284
219	CCCSS	PHO2	39.39333680374805
194	SSSSS	PHO2	17.299153870260106
234	CCSSS	pho2	2.0182598646194485
234	CCSSS	pho2	2.818961765620143
234	CCSSS	pho2	2.0118667699457786
219	CCCSS	pho2	5.091345787266489
219	CCCSS	pho2	5.858904837852206
219	CCCSS	pho2	6.272754050073638
194	SSSSS	pho2	1.4130027548209365
194	SSSSS	pho2	1.1776654024441635
194	SSSSS	pho2	1.0557169459962756
194	SSSSS	PHO2	15.74249547920434
194	SSSSS	PHO2	15.841729664348351
239	SSCSC	PHO2	18.3441323753538
239	SSCSC	PHO2	18.323661645422945
194	SSSSS	PHO2	16.304878744650498
188	CCCCC	PHO2	19.908582834331337
188	CCCCC	PHO2	16.874349821519633
188	CCCCC	PHO2	19.128597230583985
239	SSCSC	pho2	2.403787195671776
239	SSCSC	pho2	2.814230445752733
239	SSCSC	pho2	3.8234209812957443
188	CCCCC	pho2	17.02679778733866
188	CCCCC	pho2	16.79269754768392
188	CCCCC	pho2	18.509215536938306
194	SSSSS	PHO2	15.713966160022942
194	SSSSS	PHO2	16.037632135306552
194	SSSSS	PHO2	15.622343696617698
234	CCSSS	PHO2	25.313712910986368
234	CCSSS	PHO2	34.06810095159289
234	CCSSS	PHO2	27.73359725521246
194	SSSSS	pho2	0.7135574436645733
194	SSSSS	pho2	0.8644741873804971
194	SSSSS	pho2	1.0648506151142354
234	CCSSS	pho2	2.3628016085790886
234	CCSSS	pho2	2.131216662433325
234	CCSSS	pho2	2.2714069591527988
194	SSSSS	PHO2	12.233569367951743
188	CCCCC	PHO2	12.86984572230014
188	CCCCC	PHO2	13.353254156769596
188	CCCCC	PHO2	18.17274693583273
194	SSSSS	PHO2	15.367267080745341
232	SCSSS	PHO2	17.5629938965628
232	SCSSS	PHO2	16.972881355932202
232	SCSSS	PHO2	17.8137629027213
194	SSSSS	PHO2	15.80921658986175
188	CCCCC	pho2	11.610470743510778
188	CCCCC	pho2	12.085994283380971
188	CCCCC	pho2	18.264398340248963
232	SCSSS	pho2	0.79950839819746
232	SCSSS	pho2	0.7696985181400102
232	SCSSS	pho2	0.8535854441669639
194	SSSSS	PHO2	14.989286826533789
194	SSSSS	PHO2	16.08888009497428
194	SSSSS	PHO2	16.79786950732357
219	CCCSS	PHO2	26.18883295194508
219	CCCSS	PHO2	36.24269033162074
219	CCCSS	PHO2	29.00141342756184
219	CCCSS	pho2	4.8773286467486825
219	CCCSS	pho2	4.876520811099253
219	CCCSS	pho2	5.096697347049269
194	SSSSS	PHO2	14.343943826799297
194	SSSSS	PHO2	13.736299478367597
194	SSSSS	PHO2	17.42208688591149
239	SSCSC	PHO2	14.973666565071625
239	SSCSC	PHO2	14.548327029386092
239	SSCSC	pho2	2.5427215790472575
239	SSCSC	pho2	2.5269439421338156
239	SSCSC	pho2	2.437619477006312
194	SSSSS	PHO2	19.683425211319367
194	SSSSS	PHO2	17.9179468511103
194	SSSSS	PHO2	14.662760344348792
194	SSSSS	PHO2	15.13392914139802
194	SSSSS	PHO2	17.318724508713384
194	SSSSS	PHO2	15.91743842364532
194	SSSSS	PHO2	18.404584742577978
194	SSSSS	PHO2	19.553202176642944
194	SSSSS	PHO2	15.61945309795777
194	SSSSS	PHO2	16.034825220516172
194	SSSSS	PHO2	18.31768180140273
194	SSSSS	PHO2	16.607140766754462
194	SSSSS	pho2	0.69543001079525
194	SSSSS	pho2	0.9430224642614022
194	SSSSS	pho2	0.8109065647794372
188	CCCCC	PHO2	17.368531802965087
188	CCCCC	PHO2	17.85484034465281
188	CCCCC	PHO2	16.65716903344022
188	CCCCC	pho2	14.643688524590162
188	CCCCC	pho2	17.677628635346757
188	CCCCC	pho2	15.346507666098807
222	SCCSS	PHO2	36.086528497409326
222	SCCSS	PHO2	39.4075117370892
222	SCCSS	PHO2	40.49477392836172
222	SCCSS	pho2	2.7041163421247227
222	SCCSS	pho2	2.9775515271914577
222	SCCSS	pho2	2.587526181056551
223	CSCSC	PHO2	21.876364300054757
223	CSCSC	PHO2	23.705022474105924
223	CSCSC	PHO2	18.625041922861936
223	CSCSC	pho2	4.587615553925165
223	CSCSC	pho2	4.312210246567252
223	CSCSC	pho2	4.190655061841502
221	CSCSS	PHO2	28.623464566929137
221	CSCSS	PHO2	28.172389689820882
221	CSCSS	pho2	5.377274915743861
221	CSCSS	pho2	4.563898223715794
221	CSCSS	pho2	4.745343043311614
194	SSSSS	PHO2	17.073333333333334
194	SSSSS	PHO2	19.326413003324713
194	SSSSS	PHO2	16.09647213979558
223	CSCSC	PHO2	16.522845979847833
223	CSCSC	PHO2	16.68144980655671
223	CSCSC	PHO2	17.734587298074796
194	SSSSS	pho2	1.167711493090664
194	SSSSS	pho2	1.0953809711804186
194	SSSSS	pho2	1.2921520753400768
223	CSCSC	pho2	4.380690257754478
223	CSCSC	pho2	4.0899214828163215
223	CSCSC	pho2	3.954987212276215
194	SSSSS	PHO2	14.318184919822585
188	CCCCC	PHO2	17.21335601871544
188	CCCCC	PHO2	20.340847201210288
188	CCCCC	PHO2	16.621898454746137
194	SSSSS	PHO2	16.48736360436466
194	SSSSS	PHO2	18.683474747474747
188	CCCCC	pho2	19.95580304806565
188	CCCCC	pho2	17.127221095334686
